A-4C,J52-P-8B,Idle (57% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,93.6,92,93.1,93.2,94,90,86.5,83.6,79.4,79.9,82.6,83.3,85.2,84.5,82,80.9,74.2,67.6,60.9
250,91.3,89.7,90.8,91,91.7,87.7,84.3,81.4,77.2,77.7,80.3,81.1,83,82.3,79.8,78.7,72,65.3,58.7
315,89,87.4,88.5,88.6,89.4,85.4,81.9,79.1,75,75.5,78.1,78.8,80.7,80.1,77.6,76.4,69.7,63,56.4
400,86.6,84.9,86,86.2,87,82.9,79.5,76.7,72.7,73.2,75.7,76.5,78.4,77.9,75.3,74,67.3,60.7,54
500,84.1,82.5,83.4,83.7,84.5,80.4,77,74.2,70.3,70.8,73.4,74.1,76.1,75.6,73,71.6,65,58.3,51.6
630,81.4,79.9,80.8,81,81.9,77.8,74.4,71.7,67.9,68.4,70.9,71.7,73.7,73.4,70.6,69.2,62.5,55.8,49.2
800,78.7,77.2,78,78.3,79.2,75,71.7,69.1,65.4,66,68.4,69.2,71.3,71,68.2,66.7,60,53.4,46.7
1000,75.8,74.3,75.1,75.3,76.2,72.1,68.8,66.3,62.7,63.4,65.8,66.7,68.9,68.7,65.8,64.2,57.5,50.8,44.2
1250,72.7,71.4,72,72.2,73.1,68.9,65.7,63.4,59.9,60.7,63.2,64.1,66.4,66.3,63.3,61.7,55,48.3,41.7
1600,69.5,68.2,68.8,68.9,69.8,65.6,62.5,60.4,57,58,60.5,61.4,63.9,63.9,60.8,59.1,52.4,45.7,39.1
2000,65.9,64.9,65.3,65.3,66.1,61.9,59,57.2,53.9,55.2,57.7,58.7,61.2,61.4,58.2,56.5,49.8,43.1,36.5
2500,62.2,61.4,61.7,61.5,62.1,57.9,55.3,53.9,50.7,52.2,54.8,56,58.6,58.8,55.6,53.9,47.2,40.5,33.9
3150,58.2,57.8,57.9,57.4,57.8,53.6,51.4,50.4,47.4,49.2,51.9,53.1,55.8,56.2,53,51.2,44.5,37.8,31.2
4000,54,54,53.9,53,53,49,47.4,46.8,43.9,46,48.9,50.2,52.9,53.4,50.3,48.5,41.8,35.1,28.5
5000,49.6,50.2,49.8,48.4,48,44.2,43.2,43,40.3,42.8,45.7,47.1,49.9,50.5,47.4,45.7,39,32.3,25.7
6300,45.3,46.2,45.6,43.8,42.8,39.4,39,39.2,36.8,39.5,42.5,43.9,46.7,47.4,44.5,42.7,36,29.3,22.7
8000,40.9,42.1,41.4,39.3,37.8,34.9,34.9,35.3,33.1,36,39,40.5,43.4,44.2,41.3,39.6,32.9,26.2,19.6
10000,36.5,37.8,37.2,34.9,33.2,30.6,30.8,31.3,29.4,32.3,35.5,36.9,39.8,40.7,38,36.3,29.6,22.9,16.3
12500,31.9,33.3,32.8,30.6,29,26.7,26.8,27.3,25.6,28.5,31.7,33.2,36,37,34.5,32.8,26.1,19.4,12.8
16000,27.2,28.7,28.3,26.3,24.9,22.9,22.9,23.3,21.6,24.5,27.7,29.2,32,33,30.7,29.1,22.4,15.7,9.1
20000,22.4,23.8,23.6,21.9,20.9,19.2,19.1,19.3,17.6,20.4,23.5,24.9,27.6,28.7,26.6,25.2,18.5,11.8,5.2
25000,17.5,18.8,18.8,17.5,17,15.5,15.2,15.3,13.5,16.1,19.1,20.5,23,24.1,22.2,21,14.3,7.6,1
