A-4C,J52-P-8B,Engine runup (75% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,100.6,100.8,100.6,101,97.8,96,92.7,92.3,91.4,92.9,94.6,95,92.5,91.3,85.5,77.3,67.4,57.4,47.4
250,98.2,98.4,98.2,98.6,95.3,93.5,90.3,89.9,89.1,90.6,92.4,92.8,90.4,89.2,83.5,75.1,65.2,55.2,45.2
315,95.8,96,95.6,96,92.8,91,87.9,87.4,86.7,88.2,90.1,90.6,88.2,87.1,81.4,72.9,63,53,43
400,93.2,93.4,93,93.3,90.1,88.4,85.3,84.8,84.2,85.8,87.8,88.4,86,84.9,79.3,70.6,60.7,50.7,40.7
500,90.5,90.7,90.2,90.5,87.4,85.6,82.6,82.1,81.6,83.4,85.5,86.2,83.8,82.8,77.1,68.4,58.4,48.4,38.4
630,87.7,87.8,87.2,87.5,84.4,82.7,79.9,79.3,79,80.8,83.1,83.9,81.5,80.6,75,66.1,56.1,46.1,36.1
800,84.7,84.8,84,84.3,81.4,79.7,77,76.5,76.3,78.3,80.7,81.6,79.2,78.4,72.8,63.7,53.8,43.8,33.8
1000,81.4,81.5,80.7,80.9,78.1,76.6,74,73.5,73.5,75.7,78.3,79.2,76.9,76.2,70.6,61.4,51.4,41.4,31.4
1250,78,78.1,77.1,77.3,74.7,73.3,70.9,70.5,70.7,73,75.8,76.9,74.5,73.9,68.4,58.9,49,39,29
1600,74.4,74.3,73.3,73.5,71.2,69.8,67.7,67.4,67.8,70.3,73.2,74.4,72.1,71.6,66.2,56.5,46.6,36.6,26.6
2000,70.4,70.4,69.3,69.5,67.5,66.3,64.4,64.3,64.9,67.6,70.6,71.9,69.6,69.3,63.9,54,44.2,34.2,24.2
2500,66.3,66.2,65.2,65.5,63.8,62.6,61.1,61.2,61.9,64.7,67.9,69.3,67.1,66.9,61.6,51.5,41.7,31.7,21.7
3150,62.1,61.9,61.2,61.6,60,59,57.8,58,58.9,61.9,65.1,66.6,64.4,64.4,59.2,48.9,39.3,29.3,19.3
4000,57.7,57.7,57.3,57.7,56.4,55.4,54.5,54.9,55.9,58.9,62.2,63.8,61.7,61.9,56.8,46.3,36.7,26.7,16.7
5000,53.4,53.6,53.4,54,52.8,51.8,51.2,51.7,52.8,55.8,59.1,60.9,58.9,59.2,54.3,43.6,34.2,24.2,14.2
6300,49.2,49.7,49.7,50.3,49.2,48.2,47.9,48.4,49.6,52.5,55.9,57.8,56,56.5,51.7,40.9,31.6,21.6,11.6
8000,44.9,45.9,45.9,46.6,45.6,44.5,44.4,45,46.3,49.1,52.5,54.5,52.9,53.6,49.1,38.1,28.9,18.9,8.9
10000,40.7,41.9,42.1,42.8,41.8,40.8,40.9,41.4,42.8,45.5,48.9,51,49.7,50.7,46.4,35.4,26.2,16.2,6.2
12500,36.3,37.8,38.2,38.9,37.9,36.9,37.2,37.6,39.2,41.8,45.1,47.4,46.4,47.6,43.5,32.5,23.5,13.5,3.5
16000,31.9,33.5,34.2,34.9,33.9,32.9,33.4,33.7,35.3,37.9,41.1,43.4,42.9,44.3,40.5,29.7,20.7,10.7,0.7
20000,27.4,29.1,30.1,30.8,29.8,28.8,29.4,29.6,31.2,33.8,36.9,39.3,39.1,40.9,37.4,26.8,17.8,7.8,-2.2
25000,22.9,24.5,25.9,26.6,25.5,24.6,25.2,25.3,27,29.5,32.5,34.9,35.2,37.2,34,23.9,14.7,4.7,-5.3
