A-7E,TF41-A-2,Idle (55% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,94.6,93.5,94.6,96.4,95.1,92.5,86.7,83.4,81,83.2,89.3,89.8,91.7,88.6,86.1,83.2,83.1,73.1,63.1
250,92.3,91.2,92.4,94.3,92.9,90.3,84.5,81.2,78.8,81,87,87.5,89.5,86.4,83.9,81,80.9,70.9,60.9
315,90.1,88.9,90.2,92.1,90.7,88.1,82.3,79,76.6,78.7,84.7,85.3,87.2,84.2,81.7,78.9,78.7,68.7,58.7
400,87.8,86.5,87.9,89.8,88.4,85.8,80,76.8,74.4,76.4,82.4,83,84.9,82,79.5,76.7,76.5,66.5,56.5
500,85.4,84.1,85.5,87.5,86.1,83.5,77.6,74.5,72.1,74,80,80.7,82.6,79.7,77.2,74.4,74.3,64.3,54.3
630,83,81.6,83.1,85.2,83.8,81.2,75.2,72.1,69.8,71.6,77.5,78.3,80.2,77.4,74.9,72.2,72,62,52
800,80.5,79.1,80.6,82.8,81.3,78.7,72.8,69.7,67.4,69.1,74.9,75.8,77.7,75,72.6,69.9,69.7,59.7,49.7
1000,78,76.4,78.1,80.3,78.8,76.2,70.3,67.3,65,66.6,72.3,73.3,75.2,72.7,70.2,67.6,67.3,57.3,47.3
1250,75.3,73.7,75.5,77.7,76.2,73.6,67.6,64.7,62.4,63.9,69.6,70.7,72.6,70.2,67.8,65.2,64.8,54.8,44.8
1600,72.6,70.9,72.7,75,73.5,70.9,64.9,62,59.8,61.2,66.8,68.1,70,67.7,65.3,62.8,62.3,52.3,42.3
2000,69.7,67.9,69.8,72.1,70.6,68,62.1,59.2,57,58.4,63.9,65.3,67.3,65.2,62.8,60.4,59.7,49.7,39.7
2500,66.6,64.7,66.7,69,67.6,64.9,59,56.2,54.1,55.5,60.9,62.5,64.5,62.6,60.2,57.9,57.1,47.1,37.1
3150,63.3,61.4,63.4,65.7,64.3,61.7,55.8,53,51.1,52.5,57.8,59.6,61.6,59.9,57.6,55.3,54.3,44.3,34.3
4000,59.7,57.8,59.9,62.2,60.7,58.1,52.3,49.6,47.8,49.4,54.6,56.6,58.7,57.1,54.8,52.7,51.5,41.5,31.5
5000,55.8,53.9,56,58.2,56.8,54.2,48.5,46,44.3,46.2,51.4,53.5,55.6,54.2,52,50,48.6,38.6,28.6
6300,51.4,49.6,51.7,53.9,52.5,49.8,44.3,42.1,40.7,42.9,48,50.2,52.4,51.1,49.1,47.3,45.6,35.6,25.6
8000,46.6,44.9,46.9,49,47.5,44.9,39.6,37.9,36.8,39.5,44.5,46.8,49,47.9,46.1,44.4,42.5,32.5,22.5
10000,41.3,39.8,41.5,43.5,42,39.5,34.6,33.6,32.9,36.1,40.9,43.3,45.5,44.5,42.9,41.5,39.2,29.2,19.2
12500,35.5,34.4,35.8,37.5,35.8,33.5,29.5,29.4,29.1,32.5,37.3,39.6,41.7,41,39.6,38.4,35.9,25.9,15.9
16000,29.7,29,29.8,31.2,29.2,27.5,24.6,25.3,25.3,28.9,33.5,35.7,37.8,37.2,36.2,35.2,32.4,22.4,12.4
20000,24.3,24,24.3,25.4,23,22.2,20.3,21.5,21.5,25.2,29.6,31.7,33.7,33.2,32.6,31.8,28.7,18.7,8.7
25000,19.7,19.4,19.2,20.4,17.7,17.7,16.4,17.7,17.7,21.3,25.5,27.5,29.4,29,28.9,28.2,24.9,14.9,4.9
