A-7E,TF41-A-2,Engine runup (70% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,97.8,98.8,98.1,99.1,97,96.7,94.1,85.3,83.8,89.1,93.3,96,94.3,91.5,89,87.3,72.8,62.8,52.8
250,95.5,96.5,95.9,96.9,94.7,94.4,91.8,83.1,81.5,86.9,91,93.8,92.1,89.3,86.9,85.2,70.7,60.7,50.7
315,93.2,94.3,93.6,94.6,92.5,92.1,89.5,80.7,79.3,84.6,88.7,91.4,89.8,87.1,84.7,83,68.6,58.6,48.6
400,90.9,91.9,91.3,92.3,90.1,89.7,87.1,78.3,77,82.2,86.2,89,87.4,84.8,82.4,80.8,66.4,56.4,46.4
500,88.4,89.5,88.9,89.9,87.7,87.1,84.6,75.8,74.6,79.8,83.7,86.6,85,82.5,80.1,78.6,64.3,54.3,44.3
630,85.9,87,86.4,87.5,85.2,84.5,82.1,73.3,72.2,77.3,81.1,84,82.6,80.2,77.8,76.3,62.1,52.1,42.1
800,83.2,84.4,83.8,84.9,82.6,81.7,79.4,70.6,69.7,74.8,78.5,81.4,80.1,77.8,75.5,74.1,59.9,49.9,39.9
1000,80.5,81.7,81.1,82.2,79.8,78.7,76.5,67.8,67.2,72.2,75.7,78.7,77.5,75.4,73.1,71.7,57.6,47.6,37.6
1250,77.6,78.8,78.2,79.4,76.9,75.6,73.5,64.9,64.5,69.4,72.9,75.9,74.9,72.9,70.7,69.4,55.4,45.4,35.4
1600,74.5,75.8,75.2,76.4,73.9,72.1,70.3,61.8,61.7,66.6,69.9,73.1,72.3,70.5,68.2,67,53.1,43.1,33.1
2000,71.2,72.6,72,73.2,70.6,68.5,66.9,58.7,58.9,63.7,67,70.2,69.7,68,65.7,64.5,50.8,40.8,30.8
2500,67.7,69.1,68.4,69.7,67.1,64.5,63.1,55.5,55.9,60.7,64,67.2,67,65.4,63.1,62,48.6,38.6,28.6
3150,63.8,65.3,64.6,65.9,63.3,60.2,59.2,52.2,52.9,57.6,60.9,64.1,64.3,62.8,60.5,59.5,46.3,36.3,26.3
4000,59.7,61.1,60.5,61.8,59.1,55.6,54.9,48.9,49.8,54.3,57.8,60.8,61.5,60.1,57.8,56.9,44,34,24
5000,55.2,56.5,55.9,57.2,54.6,50.9,50.3,45.7,46.6,51,54.6,57.5,58.5,57.4,55,54.2,41.6,31.6,21.6
6300,50.4,51.6,51.1,52.2,49.7,46.1,45.5,42.4,43.3,47.6,51.2,54.1,55.5,54.5,52.2,51.5,39.3,29.3,19.3
8000,45.4,46.4,46,46.7,44.6,41.4,40.8,39.1,40,44.1,47.8,50.6,52.2,51.5,49.3,48.8,37,27,17
10000,40.5,41.3,40.9,41.2,39.6,37,36.5,35.9,36.7,40.5,44.2,46.9,48.8,48.3,46.4,45.9,34.6,24.6,14.6
12500,36,36.4,36.3,36.1,34.9,33.1,32.6,32.6,33.3,36.9,40.6,43.1,45.2,45,43.4,43,32.2,22.2,12.2
16000,31.9,31.9,32,31.6,30.6,29.4,29.1,29.3,29.8,33.2,36.8,39.2,41.3,41.6,40.2,40,29.7,19.7,9.7
20000,28,27.7,28,27.4,26.6,25.9,25.7,25.9,26.3,29.4,32.9,35.2,37.4,38,37,36.9,27.1,17.1,7.1
25000,24.2,23.7,24.2,23.5,22.7,22.3,22.3,22.4,22.7,25.5,28.9,31.2,33.3,34.2,33.7,33.6,24.4,14.4,4.4
