A-7E,TF41-A-2,Maximum power (99.5% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,107.8,112.7,114.8,116,116.2,115.6,114.3,113.6,113.6,114.6,115.4,117.7,120.1,124.4,125.5,117.7,111,104.3,97.7
250,105.7,110.6,112.7,113.9,114.1,113.5,112.1,111.4,111.5,112.4,113.2,115.5,118,122.3,123.4,115.6,108.9,102.2,95.6
315,103.6,108.6,110.6,111.8,112,111.3,109.9,109.2,109.3,110.2,110.9,113.3,115.8,120.2,121.2,113.6,106.9,100.2,93.6
400,101.5,106.5,108.5,109.6,109.8,109.2,107.7,106.9,107,107.9,108.7,111,113.7,118,119.1,111.5,104.8,98.1,91.5
500,99.4,104.3,106.4,107.5,107.6,106.9,105.5,104.7,104.7,105.6,106.3,108.7,111.5,115.8,116.9,109.4,102.7,96,89.4
630,97.3,102.2,104.2,105.3,105.4,104.7,103.2,102.3,102.3,103.2,103.9,106.4,109.2,113.6,114.7,107.3,100.6,93.9,87.3
800,95.1,100,102,103,103.1,102.4,100.8,99.9,99.9,100.8,101.5,104,106.9,111.4,112.4,105.2,98.5,91.8,85.2
1000,92.9,97.8,99.8,100.7,100.8,100,98.4,97.4,97.4,98.2,98.9,101.5,104.6,109.1,110.1,103,96.3,89.6,83
1250,90.6,95.5,97.5,98.4,98.4,97.6,95.9,94.9,94.8,95.6,96.3,98.9,102.1,106.8,107.7,100.8,94.1,87.4,80.8
1600,88.3,93.2,95.1,95.9,95.9,95.1,93.3,92.3,92.2,92.9,93.6,96.3,99.7,104.4,105.3,98.6,91.9,85.2,78.6
2000,85.9,90.8,92.7,93.4,93.4,92.5,90.7,89.5,89.4,90.1,90.8,93.6,97.1,101.9,102.8,96.3,89.6,82.9,76.3
2500,83.5,88.3,90.2,90.8,90.7,89.9,87.9,86.7,86.6,87.2,87.9,90.8,94.5,99.4,100.2,94,87.3,80.6,74
3150,80.9,85.8,87.5,88.1,88,87.1,85,83.7,83.6,84.2,84.9,87.9,91.7,96.9,97.6,91.6,84.9,78.2,71.6
4000,78.3,83.1,84.8,85.3,85.1,84.1,82,80.6,80.5,81.1,81.8,85,88.9,94.2,94.8,89.1,82.4,75.7,69.1
5000,75.4,80.2,81.9,82.2,82,81,78.9,77.4,77.3,77.9,78.7,82,86,91.5,92,86.6,79.9,73.2,66.6
6300,72.5,77.2,78.8,79,78.8,77.7,75.5,73.9,73.9,74.5,75.4,78.9,82.9,88.7,89,83.9,77.2,70.5,63.9
8000,69.3,74,75.5,75.6,75.3,74.2,71.9,70.3,70.5,71.1,72,75.6,79.7,85.7,85.9,81.1,74.4,67.7,61.1
10000,65.8,70.5,71.9,71.8,71.6,70.4,68,66.5,66.9,67.6,68.6,72.2,76.4,82.7,82.7,78.2,71.5,64.8,58.2
12500,62.1,66.7,67.9,67.8,67.5,66.2,63.9,62.4,63.2,64,65,68.7,73,79.6,79.4,75.1,68.4,61.7,55.1
16000,57.9,62.5,63.6,63.3,63,61.7,59.4,58.1,59.5,60.3,61.3,65,69.4,76.3,76,71.7,65,58.3,51.7
20000,53.4,57.8,58.9,58.4,58.1,56.7,54.5,53.7,55.6,56.4,57.5,61,65.7,72.8,72.5,68.1,61.4,54.7,48.1
25000,48.4,52.6,53.5,52.9,52.6,51.3,49.4,49,51.5,52.4,53.4,56.8,61.8,69.1,68.8,64.2,57.5,50.8,44.2
