AV-8B,F402-RR-408,100 ft. hover (107% RPM)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,114.7,116.5,118.4,119.6,119.7,119.3,118.6,119,119,118.1,117.2,117.8,118.9,118.9,117.4,114.5,113.9,114.2,114.5
250,112.4,114.2,116,117.1,117.1,116.7,116.3,116.7,116.6,115.8,114.9,115.4,116.4,116.4,114.9,112.1,111.6,111.9,112.2
315,110.1,111.8,113.6,114.6,114.5,114.1,113.8,114.3,114.3,113.5,112.5,112.9,113.9,113.7,112.3,109.7,109.2,109.6,109.9
400,107.7,109.4,111.1,112.1,111.8,111.5,111.4,111.9,111.9,111.1,110.1,110.5,111.3,111,109.7,107.3,106.8,107.2,107.6
500,105.3,107,108.7,109.5,109.1,108.8,108.9,109.4,109.5,108.7,107.6,107.9,108.6,108.3,107,104.8,104.4,104.7,105.2
630,102.8,104.5,106.2,107,106.4,106.1,106.4,107,107,106.2,105.1,105.4,106,105.6,104.3,102.2,101.9,102.3,102.7
800,100.3,101.9,103.6,104.4,103.7,103.4,103.8,104.4,104.5,103.7,102.6,102.8,103.4,102.9,101.7,99.6,99.3,99.7,100.2
1000,97.7,99.3,101,101.8,101,100.7,101.2,101.9,101.9,101.2,100,100.2,100.7,100.1,99,97,96.7,97.1,97.6
1250,95,96.7,98.4,99.1,98.2,98,98.5,99.3,99.3,98.6,97.4,97.5,98,97.3,96.2,94.3,94,94.5,95
1600,92.2,93.9,95.6,96.3,95.5,95.2,95.8,96.6,96.6,95.9,94.6,94.8,95.2,94.5,93.4,91.5,91.3,91.7,92.2
2000,89.4,91.1,92.8,93.5,92.6,92.4,93,93.8,93.9,93.1,91.8,91.9,92.3,91.6,90.5,88.6,88.4,88.9,89.4
2500,86.5,88.2,89.9,90.6,89.6,89.4,90.1,90.9,91,90.2,88.9,89,89.3,88.6,87.5,85.6,85.5,85.9,86.5
3150,83.4,85.1,86.9,87.5,86.5,86.3,87.1,88,88.1,87.3,85.9,85.9,86.2,85.4,84.3,82.5,82.4,82.9,83.4
4000,80.2,82,83.7,84.3,83.3,83.1,83.9,84.8,85,84.2,82.8,82.8,83,82.2,81,79.3,79.2,79.7,80.2
5000,76.9,78.7,80.4,81,79.8,79.6,80.6,81.6,81.7,80.9,79.5,79.4,79.6,78.7,77.6,75.9,75.8,76.3,76.9
6300,73.5,75.2,76.9,77.4,76.2,76,77.1,78.1,78.3,77.5,76,75.9,76,75,73.9,72.3,72.3,72.8,73.3
8000,69.8,71.5,73.2,73.6,72.4,72.2,73.3,74.4,74.6,73.9,72.4,72.2,72.1,71.1,70,68.5,68.5,69,69.6
10000,65.9,67.6,69.2,69.6,68.2,68.1,69.4,70.5,70.7,70,68.5,68.2,68.1,66.9,65.8,64.5,64.5,65.1,65.6
12500,61.8,63.4,65,65.3,63.9,63.8,65.1,66.3,66.5,65.9,64.3,64,63.7,62.3,61.3,60.2,60.3,60.9,61.4
16000,57.5,58.9,60.4,60.6,59.3,59.2,60.5,61.7,61.9,61.4,59.8,59.4,59,57.5,56.5,55.6,55.8,56.4,56.9
20000,52.8,54.1,55.5,55.6,54.5,54.5,55.6,56.8,57,56.5,54.9,54.4,53.9,52.4,51.5,50.8,51,51.5,52.1
25000,47.9,49,50.2,50.3,49.6,49.7,50.5,51.4,51.6,51.2,49.7,49.1,48.5,47.2,46.4,45.8,46,46.5,46.9
