AV-8B,F402-RR-408,Military power runup (114% RPM)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,112.3,112.8,113.5,114.5,114.9,115.4,114.9,114.6,116.2,117.1,117.2,119,108.2,102.9,94.2,89.2,84.2,79.2,74.2
250,110.2,110.6,111.3,112.4,112.7,113.2,112.7,112.4,114,114.9,115,116.8,106.2,100.8,92,87,82,77,72
315,108,108.4,109.1,110.2,110.5,110.9,110.5,110.2,111.7,112.7,112.8,114.7,104,98.7,89.9,84.9,79.9,74.9,69.9
400,105.7,106.1,106.9,107.9,108.2,108.7,108.2,107.9,109.5,110.4,110.6,112.5,101.9,96.6,87.7,82.7,77.7,72.7,67.7
500,103.5,103.9,104.6,105.6,105.9,106.4,105.9,105.6,107.2,108.1,108.3,110.2,99.8,94.4,85.6,80.6,75.6,70.6,65.6
630,101.1,101.5,102.3,103.3,103.6,104,103.5,103.3,104.8,105.7,105.9,107.9,97.6,92.2,83.3,78.3,73.3,68.3,63.3
800,98.8,99.2,100,100.9,101.2,101.6,101.1,100.8,102.4,103.3,103.6,105.6,95.4,90,81.1,76.1,71.1,66.1,61.1
1000,96.3,96.7,97.5,98.5,98.7,99.2,98.6,98.4,99.9,100.9,101.1,103.3,93.2,87.8,78.8,73.8,68.8,63.8,58.8
1250,93.9,94.3,95.1,96,96.1,96.6,96,95.8,97.3,98.3,98.6,100.9,90.9,85.5,76.5,71.5,66.5,61.5,56.5
1600,91.3,91.7,92.5,93.4,93.5,94,93.4,93.2,94.7,95.7,96,98.4,88.6,83.2,74.1,69.1,64.1,59.1,54.1
2000,88.7,89.1,89.9,90.8,90.8,91.3,90.6,90.5,92,93,93.4,95.9,86.3,80.9,71.7,66.7,61.7,56.7,51.7
2500,86,86.4,87.2,88.1,88,88.5,87.8,87.6,89.1,90.2,90.6,93.2,83.9,78.5,69.2,64.2,59.2,54.2,49.2
3150,83.2,83.5,84.3,85.2,85.1,85.5,84.8,84.7,86.2,87.2,87.8,90.5,81.5,76.1,66.7,61.7,56.7,51.7,46.7
4000,80.3,80.6,81.4,82.3,82.1,82.5,81.7,81.7,83.1,84.1,84.8,87.7,79,73.5,64.1,59.1,54.1,49.1,44.1
5000,77.2,77.6,78.3,79.2,78.9,79.3,78.4,78.5,79.9,80.9,81.7,84.8,76.5,71,61.5,56.5,51.5,46.5,41.5
6300,74,74.4,75.1,76,75.6,75.9,75,75.2,76.5,77.6,78.5,81.8,73.8,68.3,58.7,53.7,48.7,43.7,38.7
8000,70.7,71,71.7,72.6,72.2,72.3,71.5,71.7,72.9,74.1,75.2,78.7,71.1,65.6,55.9,50.9,45.9,40.9,35.9
10000,67.2,67.5,68.2,69,68.6,68.6,67.8,68.1,69.2,70.4,71.8,75.4,68.3,62.7,53.1,48.1,43.1,38.1,33.1
12500,63.5,63.8,64.5,65.2,64.7,64.6,64,64.3,65.3,66.6,68.1,71.9,65.3,59.8,50.1,45.1,40.1,35.1,30.1
16000,59.6,59.9,60.6,61.2,60.7,60.4,60,60.4,61.2,62.7,64.4,68.2,62.1,56.7,47.2,42.2,37.2,32.2,27.2
20000,55.4,55.7,56.4,57,56.5,56,55.8,56.3,57,58.6,60.4,64.3,58.7,53.5,44.1,39.1,34.1,29.1,24.1
25000,51.1,51.2,51.9,52.5,52,51.4,51.4,52,52.6,54.2,56.1,60.2,55.1,50.1,41,36,31,26,21
