AV-8B,F402-RR-408,Engine runup (40% RPM)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,96.8,97.5,99.6,97.2,96.2,95.3,93.3,91.7,91.2,88,89.3,90.7,91.4,84.2,76.4,69.8,67.6,64.1,44.1
250,94.5,95.2,97.3,94.9,94,93.1,91,89.4,89,85.8,87,88.5,89.2,82,74.1,67.6,65.4,61.8,41.8
315,92.2,92.9,95,92.5,91.7,90.8,88.6,87.1,86.6,83.5,84.7,86.1,86.9,79.7,71.9,65.3,63.2,59.5,39.5
400,89.8,90.5,92.6,90.1,89.3,88.4,86.2,84.6,84.2,81.1,82.3,83.8,84.6,77.4,69.6,63,60.9,57.1,37.1
500,87.4,88,90.1,87.6,86.9,85.9,83.6,82.1,81.8,78.7,79.8,81.3,82.2,75,67.2,60.7,58.7,54.7,34.7
630,84.8,85.4,87.5,84.9,84.4,83.4,81,79.5,79.2,76.2,77.2,78.8,79.7,72.5,64.8,58.3,56.3,52.2,32.2
800,82.2,82.6,84.8,82.2,81.7,80.7,78.2,76.8,76.5,73.6,74.5,76.2,77.2,70,62.3,55.9,54,49.6,29.6
1000,79.4,79.8,82,79.3,79,77.9,75.3,73.9,73.8,70.9,71.8,73.5,74.5,67.3,59.8,53.4,51.6,47,27
1250,76.5,76.8,79.1,76.3,76.1,75,72.2,71,70.9,68.2,68.9,70.7,71.7,64.6,57.2,50.9,49.1,44.2,24.2
1600,73.5,73.7,76,73.2,73,72,69,67.9,67.9,65.4,65.8,67.8,68.7,61.8,54.6,48.4,46.6,41.4,21.4
2000,70.4,70.5,72.7,69.9,69.7,68.7,65.7,64.7,64.7,62.5,62.7,64.7,65.5,59,52,45.8,44.1,38.4,18.4
2500,67,67.1,69.3,66.4,66.3,65.3,62.2,61.4,61.5,59.5,59.5,61.5,62.2,56.1,49.4,43.2,41.5,35.4,15.4
3150,63.5,63.6,65.6,62.8,62.5,61.6,58.7,58,58.1,56.5,56.2,58.3,58.7,53.2,46.8,40.6,38.9,32.2,12.2
4000,59.9,60,61.7,59,58.6,57.8,55.1,54.6,54.7,53.5,52.9,54.9,54.9,50.2,44.1,37.9,36.3,29,9
5000,56.1,56.4,57.6,55.1,54.6,53.7,51.5,51.2,51.3,50.4,49.6,51.5,51,47.3,41.4,35.3,33.7,25.8,5.8
6300,52.3,52.7,53.4,51.2,50.4,49.6,48,47.7,47.9,47.3,46.2,48.1,47.2,44.3,38.7,32.6,31,22.6,2.6
8000,48.4,48.9,49.2,47.4,46.4,45.6,44.4,44.3,44.6,44.1,42.9,44.7,43.4,41.3,35.9,29.9,28.2,19.4,-0.6
10000,44.4,44.9,45.1,43.6,42.5,41.5,40.9,40.9,41.2,40.9,39.6,41.2,39.7,38.2,33,27.1,25.3,16.3,-3.7
12500,40.3,40.8,41.1,39.8,38.7,37.5,37.3,37.3,37.8,37.5,36.1,37.7,36.1,35,30,24.3,22.3,13.1,-6.9
16000,36.1,36.5,36.9,35.9,34.9,33.4,33.6,33.6,34.3,34,32.5,34,32.5,31.7,26.8,21.3,19.2,-9.9,10.1
20000,31.5,31.9,32.6,31.8,31,29.3,29.6,29.7,30.5,30.2,28.7,30.1,28.7,28.1,23.4,18.3,15.9,-6.6,13.4
25000,26.8,27.1,28,27.6,26.8,25,25.5,25.6,26.6,26.3,24.7,26,24.8,24.4,19.9,15.1,12.5,-3.4,16.6
