C-130E,T56-A-7,Takeoff (970 C TIT),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,98.5,99.7,99.8,99.2,99.3,99.3,100.4,99.4,98.6,96.2,96.4,95.4,95,93.5,90.9,81.8,75.1,68.4,61.8
250,96.3,97.5,97.6,97.1,97.1,97.1,98.2,97.2,96.4,94.1,94.3,93.3,92.9,91.4,88.7,79.7,73,66.3,59.7
315,94.1,95.3,95.3,94.9,94.9,94.9,96,95,94.2,91.9,92.1,91.2,90.7,89.2,86.6,77.5,70.8,64.2,57.5
400,91.8,93,93.1,92.6,92.6,92.7,93.8,92.8,92,89.7,90,89,88.5,87,84.4,75.4,68.7,62,55.4
500,89.4,90.7,90.7,90.3,90.3,90.4,91.5,90.5,89.7,87.5,87.8,86.8,86.3,84.8,82.2,73.1,66.5,59.8,53.1
630,87,88.3,88.4,88,87.9,88,89.1,88.2,87.4,85.2,85.5,84.6,84,82.5,79.9,70.9,64.2,57.5,50.9
800,84.6,85.9,85.9,85.6,85.5,85.7,86.7,85.8,85,82.9,83.3,82.3,81.7,80.2,77.6,68.6,61.9,55.2,48.6
1000,82.1,83.4,83.4,83.2,83,83.2,84.1,83.3,82.6,80.6,81,80,79.3,77.9,75.3,66.2,59.6,52.9,46.2
1250,79.5,80.8,80.8,80.6,80.4,80.6,81.5,80.8,80.1,78.2,78.6,77.7,76.9,75.5,72.9,63.8,57.1,50.4,43.8
1600,76.8,78.2,78.2,78,77.8,78,78.8,78.2,77.6,75.7,76.3,75.3,74.5,73.1,70.4,61.3,54.7,48,41.3
2000,74.1,75.5,75.4,75.4,75,75.3,76,75.4,75,73.2,73.8,72.8,71.9,70.6,67.8,58.8,52.1,45.4,38.8
2500,71.2,72.7,72.6,72.6,72.2,72.5,73.1,72.6,72.3,70.6,71.4,70.3,69.3,68,65.2,56.2,49.5,42.8,36.2
3150,68.3,69.9,69.7,69.8,69.2,69.7,70.1,69.7,69.6,68,68.9,67.8,66.6,65.4,62.5,53.4,46.7,40,33.4
4000,65.3,66.9,66.8,66.9,66.2,66.7,66.9,66.7,66.8,65.4,66.3,65.2,63.9,62.7,59.7,50.6,43.9,37.2,30.6
5000,62.2,63.9,63.7,63.9,63.1,63.7,63.7,63.7,64,62.7,63.7,62.5,61.1,59.9,56.8,47.6,40.9,34.2,27.6
6300,59.1,60.8,60.6,60.9,60,60.5,60.3,60.6,61.2,60,61.1,59.8,58.1,57.1,53.9,44.5,37.8,31.1,24.5
8000,55.8,57.5,57.4,57.8,56.7,57.3,57,57.5,58.4,57.2,58.5,57,55.1,54.1,50.8,41.4,34.7,28,21.4
10000,52.4,54.1,54.1,54.5,53.4,53.9,53.6,54.4,55.6,54.4,55.8,54.2,52,51,47.6,38.1,31.4,24.7,18.1
12500,48.8,50.6,50.6,51.1,49.9,50.5,50.1,51.3,52.8,51.5,53.1,51.3,48.8,47.9,44.2,34.7,28,21.3,14.7
16000,45.1,46.9,46.9,47.5,46.3,46.8,46.7,48.2,50,48.6,50.4,48.4,45.5,44.5,40.8,31.3,24.6,17.9,11.3
20000,41.2,43.1,43,43.7,42.5,42.9,43.1,45,47.1,45.6,47.6,45.5,42.1,41.1,37.2,27.9,21.2,14.5,7.9
25000,37.1,38.9,38.8,39.6,38.5,38.8,39.6,41.8,44.1,42.5,44.8,42.6,38.7,37.6,33.5,24.4,17.7,11,4.4
