C-130,T56-A-15,Takeoff (970 C TIT)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,99.4,100.6,100.7,100.1,100.2,100.2,101.3,100.3,99.5,97.1,97.3,96.3,95.9,94.4,91.8,82.7,76,69.3,62.7
250,97.2,98.4,98.5,98,98,98,99.1,98.1,97.3,95,95.2,94.2,93.8,92.3,89.6,80.6,73.9,67.2,60.6
315,95,96.2,96.2,95.8,95.8,95.8,96.9,95.9,95.1,92.8,93,92.1,91.6,90.1,87.5,78.4,71.7,65.1,58.4
400,92.7,93.9,94,93.5,93.5,93.6,94.7,93.7,92.9,90.6,90.9,89.9,89.4,87.9,85.3,76.3,69.6,62.9,56.3
500,90.3,91.6,91.6,91.2,91.2,91.3,92.4,91.4,90.6,88.4,88.7,87.7,87.2,85.7,83.1,74,67.4,60.7,54
630,87.9,89.2,89.3,88.9,88.8,88.9,90,89.1,88.3,86.1,86.4,85.5,84.9,83.4,80.8,71.8,65.1,58.4,51.8
800,85.5,86.8,86.8,86.5,86.4,86.6,87.6,86.7,85.9,83.8,84.2,83.2,82.6,81.1,78.5,69.5,62.8,56.1,49.5
1000,83,84.3,84.3,84.1,83.9,84.1,85,84.2,83.5,81.5,81.9,80.9,80.2,78.8,76.2,67.1,60.5,53.8,47.1
1250,80.4,81.7,81.7,81.5,81.3,81.5,82.4,81.7,81,79.1,79.5,78.6,77.8,76.4,73.8,64.7,58,51.3,44.7
1600,77.7,79.1,79.1,78.9,78.7,78.9,79.7,79.1,78.5,76.6,77.2,76.2,75.4,74,71.3,62.2,55.6,48.9,42.2
2000,75,76.4,76.3,76.3,75.9,76.2,76.9,76.3,75.9,74.1,74.7,73.7,72.8,71.5,68.7,59.7,53,46.3,39.7
2500,72.1,73.6,73.5,73.5,73.1,73.4,74,73.5,73.2,71.5,72.3,71.2,70.2,68.9,66.1,57.1,50.4,43.7,37.1
3150,69.2,70.8,70.6,70.7,70.1,70.6,71,70.6,70.5,68.9,69.8,68.7,67.5,66.3,63.4,54.3,47.6,40.9,34.3
4000,66.2,67.8,67.7,67.8,67.1,67.6,67.8,67.6,67.7,66.3,67.2,66.1,64.8,63.6,60.6,51.5,44.8,38.1,31.5
5000,63.1,64.8,64.6,64.8,64,64.6,64.6,64.6,64.9,63.6,64.6,63.4,62,60.8,57.7,48.5,41.8,35.1,28.5
6300,60,61.7,61.5,61.8,60.9,61.4,61.2,61.5,62.1,60.9,62,60.7,59,58,54.8,45.4,38.7,32,25.4
8000,56.7,58.4,58.3,58.7,57.6,58.2,57.9,58.4,59.3,58.1,59.4,57.9,56,55,51.7,42.3,35.6,28.9,22.3
10000,53.3,55,55,55.4,54.3,54.8,54.5,55.3,56.5,55.3,56.7,55.1,52.9,51.9,48.5,39,32.3,25.6,19
12500,49.7,51.5,51.5,52,50.8,51.4,51,52.2,53.7,52.4,54,52.2,49.7,48.8,45.1,35.6,28.9,22.2,15.6
16000,46,47.8,47.8,48.4,47.2,47.7,47.6,49.1,50.9,49.5,51.3,49.3,46.4,45.4,41.7,32.2,25.5,18.8,12.2
20000,42.1,44,43.9,44.6,43.4,43.8,44,45.9,48,46.5,48.5,46.4,43,42,38.1,28.8,22.1,15.4,8.8
25000,38,39.8,39.7,40.5,39.4,39.7,40.5,42.7,45,43.4,45.7,43.5,39.6,38.5,34.4,25.3,18.6,11.9,5.3
