C-141A,TF33-P-7,Idle (28% NF),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,96.1,96.4,95.8,92.5,88.7,89.4,88.8,86,83.5,83.9,81.2,85.2,86.1,86.7,85.7,82,81.8,71.8,61.8
250,93.9,94.2,93.6,90.3,86.5,87.2,86.6,83.7,81.3,81.7,78.9,83,83.8,84.5,83.5,79.8,79.6,69.6,59.6
315,91.6,92,91.3,88.1,84.2,84.9,84.3,81.5,79.1,79.5,76.7,80.6,81.5,82.2,81.2,77.5,77.4,67.4,57.4
400,89.3,89.7,89,85.8,81.9,82.6,82.1,79.1,76.8,77.1,74.3,78.3,79.1,79.9,78.9,75.2,75.1,65.1,55.1
500,86.9,87.3,86.6,83.4,79.5,80.2,79.7,76.7,74.5,74.8,71.9,75.8,76.6,77.5,76.5,72.8,72.7,62.7,52.7
630,84.5,84.8,84.1,81,77.1,77.7,77.3,74.3,72.1,72.3,69.4,73.3,74.1,75,74.1,70.4,70.3,60.3,50.3
800,82,82.3,81.6,78.5,74.5,75.1,74.8,71.7,69.6,69.8,66.8,70.6,71.4,72.4,71.5,67.9,67.7,57.7,47.7
1000,79.3,79.6,78.9,75.9,71.9,72.4,72.2,69,67.1,67.1,64.2,67.9,68.6,69.7,68.9,65.2,65.1,55.1,45.1
1250,76.6,76.8,76.1,73.2,69.2,69.6,69.5,66.2,64.4,64.4,61.4,65,65.7,66.9,66.1,62.5,62.3,52.3,42.3
1600,73.7,73.9,73.2,70.3,66.3,66.7,66.7,63.3,61.6,61.5,58.5,62,62.7,63.9,63.1,59.6,59.4,49.4,39.4
2000,70.7,70.9,70.2,67.4,63.4,63.6,63.8,60.3,58.8,58.5,55.5,58.9,59.5,60.7,60,56.6,56.4,46.4,36.4
2500,67.5,67.7,67,64.3,60.2,60.4,60.8,57.2,55.7,55.4,52.3,55.6,56.2,57.3,56.6,53.4,53.3,43.3,33.3
3150,64.2,64.4,63.6,61.1,56.9,57,57.6,54,52.6,52.1,49.1,52.1,52.6,53.7,53,50.1,49.9,39.9,29.9
4000,60.8,60.9,60.2,57.7,53.5,53.4,54.2,50.6,49.3,48.8,45.8,48.6,49,49.9,49.2,46.7,46.4,36.4,26.4
5000,57.1,57.2,56.5,54.1,49.9,49.7,50.8,47.2,45.9,45.3,42.4,44.8,45.2,45.8,45.1,43.1,42.8,32.8,22.8
6300,53.3,53.4,52.6,50.4,46.1,45.8,47.2,43.7,42.3,41.6,39,41,41.2,41.5,40.9,39.4,39,29,19
8000,49.3,49.4,48.6,46.5,42.2,41.9,43.5,40.2,38.5,37.9,35.5,37,37.2,37.2,36.6,35.6,35.2,25.2,15.2
10000,45.1,45.3,44.4,42.4,38.3,37.9,39.8,36.6,34.7,34,32,33,33.1,32.9,32.3,31.8,31.3,21.3,11.3
12500,40.7,40.9,40.1,38.2,34.2,33.8,36,32.9,30.6,30.1,28.3,28.9,29,28.8,28.1,27.8,27.2,17.2,7.2
16000,36.1,36.4,35.5,33.7,30,29.6,32.1,29.1,26.5,26,24.6,24.8,24.8,24.6,24,23.7,23.1,13.1,3.1
20000,31.3,31.6,30.7,29.1,25.7,25.3,28,25.3,22.3,21.7,20.7,20.7,20.6,20.5,19.8,19.5,18.8,8.8,-1.2
25000,26.2,26.5,25.7,24.3,21.3,20.8,23.6,21.2,18,17.4,16.6,16.5,16.4,16.3,15.6,15.2,14.4,4.4,-5.6
