C-141A,TF33-P-7,Takeoff (95% NF),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,105.5,105.3,106,108.3,106.5,105,106.4,100.7,107,107.9,108.8,110.9,110.9,112.9,113.4,112.1,105.4,98.8,92.1
250,103.2,103.1,103.8,106,104.2,102.7,104.1,98.4,104.7,105.6,106.5,108.6,108.7,110.8,111.4,110.1,103.4,96.7,90.1
315,100.9,100.7,101.4,103.7,101.9,100.3,101.7,96.1,102.4,103.2,104.1,106.3,106.5,108.7,109.3,108,101.3,94.7,88
400,98.5,98.3,99.1,101.2,99.4,97.9,99.2,93.7,99.9,100.8,101.6,103.9,104.3,106.6,107.3,106,99.3,92.6,86
500,96,95.9,96.6,98.7,96.9,95.3,96.7,91.2,97.4,98.3,99,101.3,102,104.5,105.2,103.9,97.2,90.5,83.9
630,93.5,93.3,94.1,96.1,94.3,92.7,94,88.6,94.8,95.7,96.4,98.8,99.7,102.3,103.1,101.8,95.1,88.4,81.8
800,90.8,90.7,91.4,93.3,91.6,90,91.2,85.9,92.2,93,93.7,96.1,97.3,100.2,101,99.7,93,86.3,79.7
1000,88.1,88,88.7,90.4,88.7,87.1,88.3,83.1,89.4,90.2,90.8,93.4,94.9,98,98.8,97.6,90.9,84.2,77.6
1250,85.2,85.1,85.9,87.4,85.8,84.2,85.3,80.2,86.5,87.3,87.9,90.5,92.4,95.8,96.7,95.4,88.7,82,75.4
1600,82.3,82.2,83,84.3,82.7,81.1,82.1,77.2,83.6,84.4,84.9,87.7,90,93.6,94.5,93.2,86.5,79.8,73.2
2000,79.3,79.3,80,81.1,79.6,78,78.9,74.2,80.6,81.4,81.9,84.8,87.5,91.3,92.3,91,84.3,77.6,71
2500,76.2,76.2,76.9,77.8,76.4,74.8,75.7,71.1,77.5,78.4,78.9,81.9,84.9,89,90.1,88.7,82,75.3,68.7
3150,73.2,73.2,73.8,74.4,73.1,71.7,72.3,67.9,74.4,75.3,75.8,78.9,82.4,86.6,87.8,86.4,79.7,73,66.4
4000,70,70.1,70.6,71,69.7,68.4,69,64.7,71.2,72.2,72.8,76,79.7,84.2,85.4,84,77.3,70.6,64
5000,66.9,67,67.4,67.5,66.3,65.2,65.6,61.4,68,69.1,69.7,73,77.1,81.8,83,81.5,74.9,68.2,61.5
6300,63.8,63.8,64.2,64,62.9,61.9,62.2,58,64.6,65.9,66.6,69.9,74.3,79.2,80.5,79,72.3,65.6,59
8000,60.5,60.6,60.9,60.4,59.4,58.6,58.7,54.6,61.2,62.6,63.4,66.7,71.4,76.6,77.9,76.3,69.6,62.9,56.3
10000,57.2,57.3,57.6,56.8,55.8,55.3,55.2,51.1,57.8,59.3,60.2,63.5,68.5,73.8,75.2,73.5,66.8,60.1,53.5
12500,53.8,53.9,54.1,53.2,52.2,51.9,51.6,47.6,54.2,56,57,60.2,65.4,70.9,72.4,70.5,63.9,57.2,50.5
16000,50.2,50.4,50.5,49.5,48.6,48.4,48,44,50.6,52.5,53.6,56.7,62.1,67.8,69.4,67.4,60.8,54.1,47.4
20000,46.4,46.6,46.7,45.7,44.8,44.9,44.4,40.4,46.9,49,50.1,53.1,58.7,64.6,66.3,64.1,57.5,50.8,44.1
25000,42.5,42.7,42.8,41.7,40.9,41.1,40.5,36.6,43.1,45.2,46.5,49.4,55.1,61.1,63,60.6,54,47.3,40.6
