C-17,F117-PW-100,Idle (77% NC)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,86.1,84.3,85.5,83,81.2,81.2,79.6,77,73.4,72.9,74.3,75.8,76.5,76.1,76.2,73.1,70.8,60.8,50.8
250,83.9,82,83.2,80.8,79,79,77.4,74.8,71.2,70.7,72.2,73.6,74.3,73.9,74,71,68.6,58.6,48.6
315,81.6,79.8,81,78.6,76.8,76.8,75.2,72.6,69.1,68.6,70,71.4,72.1,71.7,71.8,68.8,66.4,56.4,46.4
400,79.3,77.5,78.6,76.4,74.5,74.5,72.9,70.3,66.9,66.4,67.8,69.2,69.8,69.4,69.5,66.6,64.1,54.1,44.1
500,76.9,75.1,76.2,74,72.1,72.1,70.6,68,64.7,64.2,65.5,67,67.6,67.1,67.2,64.3,61.8,51.8,41.8
630,74.4,72.7,73.8,71.7,69.7,69.7,68.3,65.7,62.4,62,63.3,64.7,65.3,64.8,64.8,62,59.4,49.4,39.4
800,71.9,70.2,71.2,69.2,67.2,67.3,65.9,63.3,60.1,59.7,61,62.3,62.9,62.4,62.4,59.7,57,47,37
1000,69.2,67.6,68.6,66.7,64.7,64.7,63.4,60.8,57.8,57.4,58.7,60,60.6,60,60,57.3,54.6,44.6,34.6
1250,66.5,64.9,65.9,64.1,62.1,62.1,60.9,58.4,55.4,55.1,56.3,57.6,58.2,57.5,57.5,54.9,52.1,42.1,32.1
1600,63.7,62.1,63.1,61.4,59.4,59.5,58.3,55.8,53,52.8,53.9,55.2,55.7,55,55,52.5,49.6,39.6,29.6
2000,60.8,59.2,60.2,58.6,56.6,56.7,55.7,53.2,50.6,50.4,51.5,52.8,53.3,52.5,52.4,50,47,37,27
2500,57.8,56.2,57.1,55.7,53.7,53.8,52.9,50.5,48,47.9,49,50.3,50.8,49.9,49.8,47.5,44.3,34.3,24.3
3150,54.5,53.1,54,52.6,50.6,50.8,50,47.7,45.5,45.5,46.5,47.8,48.3,47.3,47.1,44.9,41.7,31.7,21.7
4000,51.2,49.8,50.6,49.4,47.5,47.6,46.9,44.8,42.8,42.9,43.9,45.2,45.7,44.7,44.5,42.3,38.9,28.9,18.9
5000,47.6,46.3,47,46,44.2,44.3,43.8,41.9,40.1,40.4,41.3,42.6,43.1,42.1,41.7,39.6,36.1,26.1,16.1
6300,43.9,42.6,43.3,42.4,40.8,40.8,40.4,38.8,37.3,37.7,38.7,40,40.4,39.3,39,36.8,33.2,23.2,13.2
8000,39.9,38.8,39.3,38.6,37.3,37.1,37,35.6,34.5,35,35.9,37.2,37.7,36.5,36.1,33.9,30.2,20.2,10.2
10000,35.8,34.8,35.1,34.6,33.6,33.4,33.5,32.4,31.6,32.2,33.1,34.4,34.8,33.6,33.2,30.9,27.1,17.1,7.1
12500,31.6,30.6,30.8,30.4,29.8,29.7,29.9,29.1,28.6,29.3,30.1,31.5,31.8,30.6,30.2,27.8,23.9,13.9,3.9
16000,27.2,26.4,26.4,26.2,25.9,25.9,26.4,25.8,25.4,26.3,27,28.4,28.6,27.4,27,24.6,20.5,10.5,0.5
20000,22.8,22.1,21.9,21.8,22,22.1,22.8,22.3,22.1,23.1,23.6,25.1,25.2,24,23.6,21.2,17,7,-3
25000,18.5,17.7,17.3,17.3,17.8,18.2,19.1,18.6,18.5,19.6,20.1,21.6,21.6,20.3,20.1,17.6,13.3,3.3,-6.7
