C-17,F117-PW-100,Cruise power (86% NC)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,102.9,102.2,103.6,103.3,102.3,100.8,99.5,97.7,95.1,95.2,96.7,98.1,98.7,98.1,93.2,89.3,82.6,75.9,69.3
250,100.6,99.9,101.4,101.1,100,98.4,97.1,95.4,92.8,92.9,94.4,95.7,96.4,95.8,91,87.1,80.4,73.7,67.1
315,98.3,97.6,99.1,98.7,97.6,96,94.7,93,90.5,90.6,92,93.4,94.1,93.5,88.7,84.8,78.2,71.5,64.8
400,95.9,95.3,96.7,96.3,95.2,93.5,92.2,90.5,88,88.2,89.6,90.9,91.6,91.1,86.4,82.6,75.9,69.2,62.6
500,93.5,92.8,94.2,93.8,92.7,91,89.7,87.9,85.5,85.7,87.1,88.4,89.1,88.6,84,80.2,73.6,66.9,60.2
630,90.9,90.3,91.7,91.2,90.1,88.3,87,85.3,82.9,83.1,84.5,85.7,86.5,86,81.6,77.9,71.2,64.5,57.9
800,88.3,87.8,89,88.6,87.4,85.6,84.3,82.6,80.3,80.5,81.8,83,83.8,83.4,79.1,75.5,68.8,62.1,55.5
1000,85.6,85.1,86.3,85.8,84.6,82.7,81.5,79.8,77.6,77.7,79,80.2,81,80.6,76.6,73,66.4,59.7,53
1250,82.7,82.3,83.5,82.9,81.7,79.8,78.7,76.9,74.8,74.9,76.2,77.3,78.2,77.8,74,70.5,63.9,57.2,50.5
1600,79.7,79.4,80.5,79.9,78.7,76.8,75.8,74,72,72.1,73.3,74.3,75.2,75,71.4,68,61.3,54.7,48
2000,76.7,76.4,77.4,76.8,75.6,73.7,72.8,71,69.1,69.2,70.3,71.2,72.3,72.1,68.8,65.4,58.7,52.1,45.4
2500,73.5,73.3,74.2,73.6,72.4,70.6,69.8,68,66.1,66.2,67.3,68.1,69.2,69.1,66.1,62.8,56.1,49.4,42.8
3150,70.2,70,70.9,70.3,69.2,67.4,66.7,65,63.2,63.2,64.2,65,66.2,66.2,63.3,60.1,53.4,46.8,40.1
4000,66.7,66.7,67.5,66.8,65.8,64.1,63.6,61.9,60.1,60.2,61.1,61.8,63.1,63.2,60.6,57.3,50.7,44,37.3
5000,63.2,63.2,63.9,63.2,62.3,60.7,60.3,58.7,57,57.1,58,58.6,59.9,60.1,57.7,54.5,47.8,41.1,34.5
6300,59.5,59.6,60.1,59.5,58.7,57.1,56.8,55.3,53.7,53.8,54.7,55.3,56.7,57,54.7,51.5,44.8,38.2,31.5
8000,55.7,55.8,56.2,55.6,54.9,53.4,53.2,51.8,50.3,50.5,51.4,51.9,53.4,53.8,51.6,48.4,41.8,35.1,28.4
10000,51.6,51.8,52.2,51.6,51,49.6,49.4,48.2,46.8,47.1,47.9,48.4,50,50.4,48.4,45.2,38.5,31.9,25.2
12500,47.4,47.5,47.9,47.4,46.9,45.5,45.5,44.3,43.2,43.6,44.4,44.8,46.4,46.9,45.1,41.9,35.2,28.6,21.9
16000,42.9,43,43.3,43,42.5,41.3,41.2,40.3,39.5,39.9,40.8,41.1,42.7,43.3,41.7,38.5,31.8,25.2,18.5
20000,38.1,38.2,38.5,38.3,38,36.9,36.8,36.1,35.6,36.2,37,37.4,38.9,39.5,38.2,35,28.3,21.7,15
25000,33.2,33.2,33.5,33.3,33.2,32.2,32.2,31.8,31.6,32.3,33.2,33.5,35,35.6,34.6,31.5,24.8,18.2,11.5
