C-17,F117-PW-100,Derated thrust (94% NC)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,107.8,107.7,108.7,106.9,106,106.5,106.6,105,104.9,106,106.4,107.5,107.1,105.4,102.1,98.8,92.1,85.4,78.8
250,105.5,105.4,106.3,104.6,103.7,104.2,104.3,102.7,102.6,103.7,104,105.3,105,103.3,100,96.7,90,83.3,76.7
315,103.1,103,103.9,102.2,101.4,101.9,102,100.4,100.3,101.3,101.7,103,102.8,101.2,97.9,94.6,87.9,81.2,74.6
400,100.6,100.6,101.4,99.7,99,99.5,99.6,98,97.9,98.8,99.3,100.6,100.5,99,95.8,92.4,85.7,79.1,72.4
500,98.1,98.1,98.9,97.1,96.5,97,97.1,95.5,95.4,96.4,96.8,98.2,98.3,96.9,93.6,90.3,83.6,76.9,70.3
630,95.4,95.5,96.2,94.5,93.9,94.4,94.6,93,92.9,93.8,94.3,95.8,96,94.7,91.5,88.1,81.4,74.8,68.1
800,92.6,92.7,93.3,91.7,91.2,91.7,91.9,90.4,90.4,91.2,91.7,93.4,93.7,92.5,89.3,85.9,79.2,72.6,65.9
1000,89.7,89.9,90.4,88.8,88.4,88.9,89.2,87.8,87.8,88.6,89.1,90.9,91.3,90.3,87.1,83.6,77,70.3,63.6
1250,86.6,86.9,87.2,85.8,85.5,86,86.3,85.1,85.1,85.9,86.5,88.4,89,88,84.9,81.4,74.7,68.1,61.4
1600,83.4,83.7,83.9,82.6,82.6,83,83.3,82.3,82.4,83.2,83.9,85.8,86.6,85.7,82.6,79.1,72.4,65.8,59.1
2000,80.1,80.3,80.4,79.4,79.5,79.8,80.2,79.5,79.7,80.5,81.2,83.3,84.2,83.4,80.4,76.8,70.1,63.5,56.8
2500,76.6,76.8,76.8,76.1,76.4,76.6,77,76.6,77,77.8,78.6,80.7,81.8,81.1,78.1,74.4,67.7,61.1,54.4
3150,72.9,73.1,73,72.7,73.2,73.3,73.7,73.6,74.2,75,75.8,78.1,79.3,78.7,75.7,72,65.3,58.7,52
4000,69.3,69.3,69.1,69.3,70,69.9,70.4,70.7,71.4,72.2,73.1,75.4,76.8,76.2,73.4,69.5,62.8,56.2,49.5
5000,65.7,65.5,65.2,65.9,66.8,66.5,67.1,67.7,68.5,69.3,70.2,72.6,74.1,73.7,70.9,67,60.3,53.7,47
6300,62.2,61.9,61.5,62.6,63.5,63.2,63.8,64.6,65.6,66.4,67.3,69.8,71.4,71.1,68.4,64.4,57.7,51.1,44.4
8000,58.9,58.5,58,59.4,60.3,59.8,60.5,61.5,62.5,63.4,64.3,66.8,68.6,68.4,65.9,61.7,55,48.4,41.7
10000,55.7,55.2,54.6,56.1,57,56.5,57.2,58.2,59.3,60.2,61.2,63.7,65.6,65.7,63.2,58.9,52.2,45.6,38.9
12500,52.4,51.8,51.2,52.7,53.6,53,53.8,54.8,56,57,58,60.5,62.5,62.8,60.5,56,49.4,42.7,36
16000,49.1,48.5,47.8,49.2,50.1,49.5,50.3,51.3,52.6,53.6,54.6,57.1,59.3,59.7,57.6,53.1,46.4,39.8,33.1
20000,45.7,45,44.3,45.5,46.4,45.8,46.6,47.6,49,50.1,51.1,53.5,55.8,56.5,54.7,49.9,43.3,36.6,29.9
25000,42.2,41.4,40.6,41.8,42.7,42,42.9,43.8,45.2,46.4,47.4,49.7,52.2,53.1,51.6,46.7,40,33.4,26.7
