C-5A,TF39-GE-1A,High idle (77.5% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,101.9,100.8,104.1,99.2,100.8,103.6,102.9,98.6,100.2,99.1,96.8,99.5,101.2,101,99.1,95.6,91.7,81.7,71.7
250,99.7,98.6,102,97,98.6,101.5,100.7,96.4,98,97,94.6,97.4,99,98.9,97,93.4,89.5,79.5,69.5
315,97.5,96.3,99.7,94.8,96.4,99.3,98.5,94.1,95.9,94.8,92.4,95.1,96.8,96.7,94.8,91.3,87.4,77.4,67.4
400,95.1,93.9,97.5,92.4,94.1,97.1,96.3,91.8,93.7,92.6,90.1,92.9,94.6,94.5,92.6,89.1,85.1,75.1,65.1
500,92.7,91.5,95.1,90,91.8,94.8,93.9,89.4,91.4,90.3,87.8,90.6,92.4,92.3,90.4,86.8,82.8,72.8,62.8
630,90.3,89,92.8,87.6,89.4,92.5,91.6,87,89.2,88,85.4,88.2,90,90,88.1,84.5,80.5,70.5,60.5
800,87.8,86.4,90.3,85,86.9,90.1,89.2,84.5,86.8,85.7,83,85.8,87.7,87.6,85.7,82.2,78.1,68.1,58.1
1000,85.1,83.8,87.7,82.4,84.3,87.7,86.6,81.9,84.4,83.3,80.5,83.3,85.2,85.2,83.3,79.8,75.7,65.7,55.7
1250,82.4,81,85.1,79.6,81.6,85.2,84.1,79.2,82,80.8,77.8,80.7,82.7,82.7,80.8,77.3,73.1,63.1,53.1
1600,79.6,78.1,82.3,76.8,78.9,82.6,81.4,76.4,79.4,78.1,75.1,78,80.1,80.2,78.2,74.7,70.5,60.5,50.5
2000,76.6,75.1,79.4,73.7,75.9,79.9,78.5,73.4,76.7,75.4,72.3,75.2,77.4,77.4,75.5,72,67.7,57.7,47.7
2500,73.4,72,76.4,70.6,72.9,77,75.6,70.4,73.9,72.5,69.3,72.3,74.5,74.6,72.7,69.1,64.8,54.8,44.8
3150,70.1,68.7,73.2,67.2,69.6,73.9,72.4,67.1,70.9,69.5,66.2,69.2,71.5,71.6,69.7,66.1,61.8,51.8,41.8
4000,66.6,65.2,69.7,63.6,66.1,70.7,69.1,63.6,67.6,66.2,62.8,65.9,68.2,68.3,66.4,62.8,58.5,48.5,38.5
5000,62.9,61.4,65.9,59.7,62.4,67.1,65.4,59.9,64.1,62.6,59.2,62.3,64.7,64.8,62.9,59.3,55,45,35
6300,58.9,57.5,61.9,55.5,58.3,63.2,61.4,55.9,60.2,58.7,55.3,58.4,60.8,60.9,59,55.4,51.2,41.2,31.2
8000,54.6,53.2,57.4,51,53.9,58.8,57,51.5,55.9,54.4,51,54.1,56.5,56.6,54.6,51.1,47,37,27
10000,50.1,48.5,52.5,46.1,49.1,53.9,52.1,46.8,51.1,49.6,46.3,49.2,51.7,51.7,49.8,46.3,42.4,32.4,22.4
12500,45.4,43.5,47.1,40.8,43.9,48.3,46.5,41.7,45.8,44.2,41.1,43.8,46.2,46.2,44.3,40.9,37.4,27.4,17.4
16000,40.4,38.3,41.1,35.1,38.4,42,40.3,36.4,39.9,38.3,35.5,37.8,40.1,40.1,38.2,35,32.2,22.2,12.2
20000,35.3,32.9,34.8,29.4,32.7,35.2,33.6,31,33.8,32.3,30,31.4,33.6,33.4,31.9,29,27.2,17.2,7.2
25000,29.9,27.5,28.7,24,27.2,28.5,27.1,26.1,28.2,26.8,24.8,25.5,27.7,27,26.3,23.8,23,13,3
