C-9A,JT8D-9A,Idle (1.05 EPR),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,93.9,93.7,94.2,92.7,90.8,88.7,88.5,87.8,85.2,87.4,84.5,81.2,78.5,79.9,80.6,82.2,85.2,81.9,77
250,91.6,91.5,91.9,90.4,88.6,86.5,86.2,85.6,82.9,85.1,82.2,79,76.2,77.6,78.3,80,83,79.7,74.8
315,89.3,89.2,89.6,88.1,86.2,84.1,83.9,83.3,80.6,82.8,79.9,76.6,73.9,75.3,76,77.6,80.7,77.4,72.5
400,86.9,86.8,87.2,85.7,83.8,81.7,81.6,80.9,78.2,80.4,77.6,74.2,71.5,72.8,73.6,75.2,78.4,75.1,70.2
500,84.5,84.3,84.8,83.2,81.3,79.2,79.1,78.4,75.7,77.9,75.1,71.7,69,70.4,71.1,72.7,76,72.7,67.8
630,81.9,81.7,82.2,80.6,78.7,76.7,76.5,75.9,73.1,75.3,72.6,69.1,66.4,67.8,68.5,70.2,73.5,70.2,65.3
800,79.2,79.1,79.6,77.9,76,74,73.9,73.2,70.5,72.6,70,66.5,63.7,65.1,65.9,67.5,70.9,67.6,62.7
1000,76.4,76.3,76.8,75.1,73.1,71.1,71,70.4,67.6,69.8,67.2,63.6,60.9,62.3,63.1,64.7,68.3,64.9,60.1
1250,73.4,73.3,73.8,72,70.1,68.1,68,67.4,64.7,66.8,64.4,60.7,58,59.4,60.3,61.8,65.5,62.2,57.3
1600,70.1,70.2,70.6,68.9,66.9,65,64.8,64.2,61.5,63.6,61.4,57.6,55,56.4,57.3,58.8,62.7,59.4,54.4
2000,66.7,66.8,67.2,65.5,63.5,61.6,61.4,60.7,58.2,60.3,58.3,54.4,51.8,53.3,54.2,55.7,59.8,56.5,51.4
2500,62.9,63.3,63.5,61.9,59.9,58,57.6,57,54.8,56.8,55.1,51,48.6,50.1,51,52.6,56.8,53.5,48.4
3150,58.9,59.5,59.6,58.1,56,54.2,53.6,53.1,51.2,53.1,51.7,47.5,45.3,46.9,47.7,49.3,53.8,50.5,45.2
4000,54.6,55.5,55.3,54,52,50.1,49.3,48.8,47.5,49.3,48.3,44,41.9,43.6,44.3,45.9,50.7,47.4,42
5000,50,51.3,50.7,49.7,47.8,45.8,44.8,44.4,43.8,45.3,44.7,40.4,38.6,40.3,40.9,42.5,47.6,44.2,38.7
6300,45.3,47,45.9,45.3,43.4,41.3,40.2,40,40,41.2,41,36.9,35.4,37,37.4,39.1,44.4,41,35.3
8000,40.7,42.7,41,40.8,39,36.8,35.7,35.7,36.2,37,37.1,33.4,32.2,33.7,33.9,35.6,41.1,37.7,31.8
10000,36.1,38.5,36.3,36.4,34.7,32.5,31.4,31.6,32.4,32.8,33.2,29.9,29,30.4,30.4,32.1,37.7,34.3,28.3
12500,31.9,34.3,31.9,32,30.5,28.3,27.3,27.6,28.5,28.7,29.1,26.5,25.9,27.1,26.9,28.6,34.2,30.8,24.7
16000,27.8,30.2,27.8,27.8,26.4,24.3,23.3,23.7,24.5,24.7,25.1,23.1,22.7,23.8,23.4,25,30.6,27.2,21.1
20000,23.9,26.2,23.7,23.6,22.5,20.4,19.4,19.7,20.5,20.8,21.1,19.7,19.5,20.4,19.9,21.3,26.8,23.4,17.4
25000,19.9,21.9,19.6,19.4,18.6,16.5,15.4,15.7,16.4,17,17.1,16.2,16.1,16.9,16.3,17.5,22.8,19.5,13.7
