C-9A,JT8D-9A,1.8 EPR,,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,103.7,100.6,102.4,104.1,103.9,102.1,101.2,101.8,99.9,102,105.7,103,107.7,109.3,109.8,115.3,113.8,103,83
250,101.4,98.4,100.2,101.8,101.6,99.8,98.9,99.6,97.7,99.7,103.5,100.9,105.5,107.2,107.7,113.2,111.7,101,81
315,99.1,96,97.8,99.5,99.3,97.5,96.6,97.3,95.5,97.5,101.2,98.8,103.4,105.1,105.6,111.2,109.7,98.9,78.9
400,96.7,93.6,95.4,97.1,96.9,95.1,94.3,94.9,93.2,95.2,98.8,96.6,101.3,102.9,103.5,109.1,107.6,96.9,76.9
500,94.2,91.2,92.9,94.6,94.3,92.6,91.9,92.5,90.9,92.8,96.5,94.4,99.1,100.7,101.4,107,105.6,94.8,74.8
630,91.6,88.6,90.4,91.9,91.7,90,89.4,90.1,88.5,90.4,94,92.2,96.8,98.5,99.2,104.9,103.5,92.7,72.7
800,89,86,87.7,89.2,89,87.3,86.9,87.5,86,87.9,91.4,89.9,94.5,96.3,97,102.7,101.4,90.6,70.6
1000,86.1,83.2,84.8,86.3,86.1,84.4,84.2,84.8,83.5,85.3,88.8,87.6,92.2,94,94.8,100.5,99.2,88.5,68.5
1250,83.2,80.3,81.9,83.3,83,81.5,81.4,82.1,80.9,82.7,86.1,85.2,89.8,91.6,92.6,98.3,97.1,86.4,66.4
1600,80,77.4,78.8,80.1,79.8,78.4,78.6,79.2,78.3,80,83.3,82.7,87.4,89.2,90.3,96,94.9,84.2,64.2
2000,76.7,74.4,75.6,76.8,76.4,75.1,75.6,76.3,75.6,77.2,80.4,80.1,84.8,86.7,87.9,93.7,92.6,82,62
2500,73.2,71.3,72.3,73.3,72.8,71.7,72.6,73.3,72.8,74.3,77.5,77.5,82.2,84.2,85.5,91.3,90.3,79.8,59.8
3150,69.6,68.2,69.1,69.9,69.3,68.3,69.4,70.2,69.9,71.4,74.4,74.7,79.4,81.5,83,88.9,88,77.5,57.5
4000,65.9,65.2,65.9,66.4,65.7,64.9,66.2,67.1,66.9,68.4,71.3,71.8,76.6,78.8,80.4,86.4,85.6,75.1,55.1
5000,62.2,62.2,62.7,63,62.2,61.5,62.9,63.8,63.8,65.2,68.1,68.8,73.6,75.9,77.8,83.7,83.1,72.7,52.7
6300,58.6,59.2,59.6,59.7,58.7,58,59.5,60.5,60.6,62,64.7,65.7,70.5,73,75,81,80.6,70.2,50.2
8000,55.2,56.2,56.5,56.3,55.2,54.5,56,57,57.3,58.6,61.2,62.4,67.2,69.9,72.2,78.2,77.9,67.6,47.6
10000,51.8,53,53.2,52.8,51.6,50.9,52.4,53.5,53.8,55.1,57.6,59,63.8,66.7,69.3,75.3,75.2,64.8,44.8
12500,48.4,49.7,49.8,49.2,47.8,47.3,48.7,49.8,50.2,51.5,53.9,55.4,60.3,63.4,66.2,72.2,72.3,62,42
16000,44.9,46.3,46.2,45.5,43.9,43.6,44.9,46,46.4,47.8,50.1,51.8,56.6,59.9,63.1,69,69.3,59,39
20000,41.2,42.7,42.4,41.5,39.9,39.8,41.1,42.1,42.5,44,46.2,48.1,52.7,56.4,59.8,65.6,66.1,55.8,35.8
25000,37.3,38.9,38.4,37.4,35.7,35.9,37.1,38.2,38.5,40,42.2,44.3,48.7,52.6,56.3,62,62.8,52.3,32.3
