CH-53E,T64-GE-416A,IGE lite (75% QQBPA)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,88.9,89,89.2,89.4,89.6,89.9,90.1,90.2,90.3,90.4,90.5,90.6,90.8,90.7,90.6,90.7,90.8,91,91.3
250,86.8,87,87.2,87.4,87.5,87.8,88,88.1,88.2,88.4,88.5,88.6,88.7,88.6,88.6,88.7,88.8,89,89.2
315,84.7,84.9,85.1,85.3,85.5,85.7,86,86.1,86.2,86.3,86.4,86.5,86.7,86.5,86.5,86.6,86.7,86.9,87.1
400,82.7,82.8,83,83.2,83.4,83.6,83.9,84,84.1,84.2,84.3,84.5,84.6,84.5,84.4,84.5,84.6,84.8,85
500,80.5,80.7,80.9,81.1,81.3,81.5,81.8,81.9,82,82.1,82.2,82.4,82.5,82.4,82.3,82.4,82.5,82.6,82.9
630,78.4,78.6,78.8,79,79.1,79.4,79.6,79.7,79.8,80,80.1,80.2,80.4,80.2,80.2,80.2,80.3,80.5,80.7
800,76.2,76.4,76.6,76.8,77,77.2,77.4,77.6,77.7,77.8,78,78.1,78.2,78.1,78,78.1,78.1,78.3,78.5
1000,74.1,74.2,74.4,74.6,74.8,75,75.2,75.4,75.5,75.6,75.8,75.9,76.1,75.9,75.8,75.8,75.9,76.1,76.3
1250,71.8,72,72.2,72.4,72.5,72.8,73,73.1,73.3,73.4,73.6,73.7,73.9,73.7,73.6,73.6,73.6,73.8,74
1600,69.6,69.7,69.9,70.1,70.2,70.5,70.7,70.9,71,71.2,71.3,71.5,71.6,71.4,71.3,71.3,71.3,71.4,71.6
2000,67.2,67.4,67.6,67.7,67.9,68.1,68.4,68.5,68.7,68.8,69,69.2,69.3,69.1,68.9,68.9,68.9,69,69.2
2500,64.9,65,65.2,65.4,65.5,65.7,66,66.1,66.3,66.5,66.6,66.8,67,66.7,66.5,66.5,66.5,66.5,66.7
3150,62.4,62.6,62.7,62.9,63.1,63.3,63.5,63.7,63.8,64,64.2,64.4,64.6,64.3,64.1,64,63.9,64,64.1
4000,59.9,60.1,60.2,60.4,60.5,60.8,61,61.2,61.3,61.5,61.7,61.9,62.1,61.8,61.5,61.4,61.3,61.3,61.4
5000,57.4,57.5,57.6,57.8,57.9,58.1,58.3,58.5,58.7,58.9,59.1,59.3,59.5,59.2,58.8,58.7,58.5,58.5,58.5
6300,54.7,54.8,55,55.1,55.2,55.4,55.6,55.8,56,56.2,56.5,56.6,56.9,56.4,56.1,55.8,55.6,55.5,55.5
8000,51.9,52,52.2,52.3,52.4,52.6,52.8,53,53.2,53.4,53.7,53.9,54.1,53.6,53.2,52.9,52.6,52.4,52.3
10000,49,49.1,49.3,49.4,49.5,49.7,49.9,50.1,50.3,50.5,50.8,51,51.2,50.7,50.2,49.9,49.5,49.2,49
12500,46,46.1,46.2,46.4,46.4,46.6,46.8,47,47.2,47.5,47.8,48,48.2,47.7,47.1,46.7,46.3,45.9,45.6
16000,42.8,42.9,43.1,43.2,43.2,43.4,43.6,43.8,44,44.3,44.6,44.8,45.1,44.5,43.9,43.4,42.9,42.5,42.1
20000,39.4,39.5,39.7,39.8,39.9,40.1,40.2,40.5,40.7,41,41.2,41.5,41.8,41.1,40.5,40,39.5,39,38.5
25000,35.8,35.9,36.1,36.2,36.3,36.5,36.6,36.9,37.1,37.4,37.7,38,38.3,37.6,37,36.5,35.9,35.4,34.9
