E-2C,T56-A-427,Maximum reverse (790 ISHP)
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,104,103.8,105.4,103.8,104.3,102.7,103.9,103.7,102.7,98.5,97.1,97.2,96.5,98,99.1,101.5,101.2,99.8,87.5
250,102,101.8,103.4,101.7,102.2,100.6,101.8,101.6,100.6,96.4,95,95.1,94.3,95.8,97,99.4,99,97.6,85.4
315,99.9,99.7,101.3,99.7,100.1,98.5,99.6,99.5,98.4,94.3,92.9,92.9,92.1,93.6,94.8,97.3,96.9,95.5,83.2
400,97.8,97.6,99.2,97.6,97.9,96.4,97.5,97.3,96.3,92.1,90.7,90.7,89.8,91.4,92.7,95.1,94.8,93.3,81
500,95.7,95.4,97,95.4,95.8,94.2,95.3,95.2,94.1,89.9,88.5,88.4,87.5,89.1,90.4,92.9,92.6,91.1,78.8
630,93.5,93.3,94.9,93.3,93.6,92,93.1,92.9,91.9,87.7,86.2,86.1,85.1,86.8,88.2,90.7,90.4,88.9,76.6
800,91.3,91.1,92.7,91.1,91.4,89.8,90.9,90.7,89.6,85.4,83.9,83.7,82.7,84.4,85.9,88.5,88.1,86.7,74.3
1000,89.1,88.8,90.5,88.9,89.1,87.5,88.6,88.4,87.3,83.1,81.6,81.3,80.3,82,83.6,86.2,85.9,84.4,72
1250,86.9,86.5,88.2,86.6,86.7,85.2,86.2,86,85,80.8,79.2,78.9,77.7,79.5,81.2,83.9,83.5,82,69.7
1600,84.6,84.2,85.9,84.3,84.4,82.8,83.8,83.6,82.6,78.4,76.7,76.4,75.1,76.9,78.8,81.5,81.2,79.7,67.3
2000,82.2,81.8,83.5,81.9,81.9,80.4,81.4,81.2,80.2,76,74.2,73.8,72.5,74.3,76.3,79.1,78.8,77.3,64.8
2500,79.7,79.3,81,79.4,79.3,77.9,78.8,78.6,77.8,73.5,71.7,71.2,69.8,71.6,73.7,76.6,76.3,74.8,62.2
3150,77.2,76.8,78.4,76.8,76.7,75.3,76.2,76.1,75.3,71,69.1,68.5,67,68.8,71.1,74,73.7,72.3,59.6
4000,74.6,74.1,75.8,74.2,74,72.6,73.5,73.4,72.8,68.5,66.5,65.8,64.2,66,68.4,71.4,71.1,69.6,56.9
5000,71.8,71.4,73,71.4,71.1,69.9,70.7,70.7,70.2,66,63.9,63.1,61.3,63,65.6,68.6,68.4,66.9,54.1
6300,68.9,68.5,70.1,68.5,68.1,67,67.8,67.9,67.6,63.4,61.2,60.3,58.5,60,62.7,65.8,65.5,64.1,51.1
8000,65.9,65.5,67.1,65.4,65,64,64.8,65.1,65,60.8,58.6,57.6,55.6,56.9,59.7,62.8,62.5,61.2,48
10000,62.7,62.3,63.9,62.2,61.7,60.9,61.7,62.1,62.3,58.1,55.9,54.8,52.7,53.8,56.5,59.6,59.4,58.1,44.8
12500,59.4,59,60.4,58.8,58.2,57.6,58.4,59.1,59.5,55.4,53.2,51.9,49.7,50.6,53.2,56.2,56.1,54.8,41.4
16000,55.8,55.5,56.8,55.1,54.6,54.2,55,56,56.7,52.6,50.5,49,46.7,47.3,49.7,52.7,52.5,51.3,37.7
20000,52,51.8,53,51.2,50.7,50.5,51.5,52.7,53.7,49.7,47.7,46,43.6,43.8,46,48.9,48.8,47.6,33.9
25000,48,47.8,48.9,47.1,46.7,46.7,47.8,49.3,50.5,46.6,44.8,42.9,40.4,40.3,42.1,44.8,44.8,43.6,29.8
