EA-6B,J52-P-408,Idle (60% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,102.5,104.4,105,96.7,94.7,91.7,87.1,85.6,83.5,86,87.9,87.5,87.6,85.7,83.8,80.6,68.7,67.9,75.6
250,100.2,102.1,102.7,94.4,92.4,89.4,84.8,83.3,81.2,83.7,85.7,85.3,85.4,83.5,81.7,78.5,66.5,65.7,73.5
315,97.8,99.7,100.4,91.8,89.9,86.7,82.1,80.5,78.4,80.8,82.1,81.5,81.4,79.4,77.3,74.4,62.9,62.2,69.8
400,95.1,96.9,97.8,89,87.2,83.8,79.3,77.7,75.5,77.7,78.7,77.7,77.5,75.4,73,70.7,59.3,58.8,66.1
500,92.1,93.9,94.7,85.9,84.2,80.7,76.2,74.6,72.4,74.7,75.6,74.6,74.4,72.2,69.9,67.6,56.2,55.7,62.9
630,88.8,90.6,91.4,82.7,80.9,77.5,73,71.4,69.2,71.4,72.4,71.5,71.2,69.1,66.8,64.4,53.1,52.6,59.7
800,85.7,87.6,88.4,79.6,77.8,74.3,69.8,68.2,66.1,68.3,69.3,68.5,68.2,66.1,63.9,61.3,50.2,49.6,56.7
1000,82.2,83.9,84.8,76,74.2,70.7,66.3,64.8,62.6,64.9,66,65.4,65.2,63.2,61.1,58.2,47.1,46.5,53.7
1250,78.3,80.1,80.9,72.2,70.4,66.9,62.8,61.2,59,61.4,62.6,62.4,62.2,60.3,58.3,55,44.1,43.5,50.7
1600,74.8,76.5,77.4,68.7,67,63.4,59.6,58,55.8,58.2,59.6,59.5,59.4,57.5,55.7,52.1,41.4,40.8,48
2000,71.1,72.6,73.5,65,63.4,59.7,56.3,54.7,52.4,55,56.5,56.7,56.7,54.9,53.1,49.3,38.7,38.1,45.3
2500,67.1,68.4,69.4,61.2,59.7,55.9,53,51.5,49.1,51.7,53.6,54,54.1,52.2,50.6,46.5,36.1,35.4,42.6
3150,63,64.1,65.1,57.4,56,52.1,49.8,48.3,45.8,48.6,50.7,51.4,51.5,49.7,48,43.8,33.5,32.8,40
4000,59.1,59.8,60.9,53.8,52.5,48.6,46.8,45.3,42.8,45.6,48,48.8,48.9,47.1,45.5,41.2,30.8,30.1,37.3
5000,54.9,55.1,56,50,48.7,44.8,43.4,42,39.4,42.4,45.1,45.9,46.1,44.3,42.7,38.3,28,27.1,34.3
6300,50.7,50.5,51.2,46.2,44.9,41.1,39.9,38.6,36.2,39.2,42.2,43,43.3,41.5,39.9,35.5,25.1,24.1,31.2
8000,46.3,45.7,46.1,42.2,40.7,37,36,34.9,32.7,35.8,39.1,39.8,40.2,38.3,36.9,32.5,22.2,20.9,28
10000,41.5,40.5,40.7,37.7,36.1,32.6,31.8,30.8,28.9,32,35.7,36.3,36.8,34.9,33.5,29.2,19,17.5,24.5
12500,35.8,34.3,34.3,32.4,30.8,27.4,26.6,25.9,24.4,27.5,31.4,31.9,32.5,30.7,29.4,25.2,15.2,13.8,20.5
16000,29.6,28,27.8,26.6,25.1,21.7,21.1,20.6,19.4,22.4,26.6,27,27.7,26,24.8,20.8,11.3,10.1,16.6
20000,23.1,21.6,21.4,20.5,19.2,15.9,15.4,15.1,14.2,17.1,21.4,21.7,22.4,21.2,20.2,16.3,7.6,6.7,13
25000,16.3,15.1,15.1,14.2,13.1,10.2,9.9,9.6,8.9,11.6,15.9,16.2,17,16.4,15.7,11.9,4.2,3.7,9.7
