EA-6B,J52-P-408,Engine runup (75% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,102.6,102.8,102.6,103,99.8,98,94.7,94.3,93.4,94.9,96.6,97,94.5,93.3,87.5,79.3,69.4,59.4,49.4
250,100.2,100.4,100.2,100.6,97.3,95.5,92.3,91.9,91.1,92.6,94.4,94.8,92.4,91.2,85.5,77.1,67.2,57.2,47.2
315,97.8,98,97.6,98,94.8,93,89.9,89.4,88.7,90.2,92.1,92.6,90.2,89.1,83.4,74.9,65,55,45
400,95.2,95.4,95,95.3,92.1,90.4,87.3,86.8,86.2,87.8,89.8,90.4,88,86.9,81.3,72.6,62.7,52.7,42.7
500,92.5,92.7,92.2,92.5,89.4,87.6,84.6,84.1,83.6,85.4,87.5,88.2,85.8,84.8,79.1,70.4,60.4,50.4,40.4
630,89.7,89.8,89.2,89.5,86.4,84.7,81.9,81.3,81,82.8,85.1,85.9,83.5,82.6,77,68.1,58.1,48.1,38.1
800,86.7,86.8,86,86.3,83.4,81.7,79,78.5,78.3,80.3,82.7,83.6,81.2,80.4,74.8,65.7,55.8,45.8,35.8
1000,83.4,83.5,82.7,82.9,80.1,78.6,76,75.5,75.5,77.7,80.3,81.2,78.9,78.2,72.6,63.4,53.4,43.4,33.4
1250,80,80.1,79.1,79.3,76.7,75.3,72.9,72.5,72.7,75,77.8,78.9,76.5,75.9,70.4,60.9,51,41,31
1600,76.4,76.3,75.3,75.5,73.2,71.8,69.7,69.4,69.8,72.3,75.2,76.4,74.1,73.6,68.2,58.5,48.6,38.6,28.6
2000,72.4,72.4,71.3,71.5,69.5,68.3,66.4,66.3,66.9,69.6,72.6,73.9,71.6,71.3,65.9,56,46.2,36.2,26.2
2500,68.3,68.2,67.2,67.5,65.8,64.6,63.1,63.2,63.9,66.7,69.9,71.3,69.1,68.9,63.6,53.5,43.7,33.7,23.7
3150,64.1,63.9,63.2,63.6,62,61,59.8,60,60.9,63.9,67.1,68.6,66.4,66.4,61.2,50.9,41.3,31.3,21.3
4000,59.7,59.7,59.3,59.7,58.4,57.4,56.5,56.9,57.9,60.9,64.2,65.8,63.7,63.9,58.8,48.3,38.7,28.7,18.7
5000,55.4,55.6,55.4,56,54.8,53.8,53.2,53.7,54.8,57.8,61.1,62.9,60.9,61.2,56.3,45.6,36.2,26.2,16.2
6300,51.2,51.7,51.7,52.3,51.2,50.2,49.9,50.4,51.6,54.5,57.9,59.8,58,58.5,53.7,42.9,33.6,23.6,13.6
8000,46.9,47.9,47.9,48.6,47.6,46.5,46.4,47,48.3,51.1,54.5,56.5,54.9,55.6,51.1,40.1,30.9,20.9,10.9
10000,42.7,43.9,44.1,44.8,43.8,42.8,42.9,43.4,44.8,47.5,50.9,53,51.7,52.7,48.4,37.4,28.2,18.2,8.2
12500,38.3,39.8,40.2,40.9,39.9,38.9,39.2,39.6,41.2,43.8,47.1,49.4,48.4,49.6,45.5,34.5,25.5,15.5,5.5
16000,33.9,35.5,36.2,36.9,35.9,34.9,35.4,35.7,37.3,39.9,43.1,45.4,44.9,46.3,42.5,31.7,22.7,12.7,2.7
20000,29.4,31.1,32.1,32.8,31.8,30.8,31.4,31.6,33.2,35.8,38.9,41.3,41.1,42.9,39.4,28.8,19.8,9.8,-0.2
25000,24.9,26.5,27.9,28.6,27.5,26.6,27.2,27.3,29,31.5,34.5,36.9,37.2,39.2,36,25.9,16.7,6.7,-3.3
