F-14A,TF30-P-412A/412,Engine runup (80% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,106,104.3,102.7,105.5,104,102.8,101,97.1,94,89.6,91.1,91.7,91,91.5,90.1,87.2,85.5,75.5,65.5
250,103.7,102,100.5,103.2,101.7,100.5,98.7,94.8,91.7,87.3,88.8,89.4,88.7,89.2,87.8,84.9,83.2,73.2,63.2
315,101.3,99.7,98.1,100.9,99.3,98.1,96.3,92.5,89.4,85,86.4,87,86.2,86.8,85.4,82.5,80.9,70.9,60.9
400,98.9,97.3,95.6,98.4,96.8,95.6,93.8,90,86.9,82.5,83.9,84.5,83.8,84.3,83,80.1,78.5,68.5,58.5
500,96.3,94.7,93.1,95.9,94.3,93.1,91.3,87.5,84.4,80,81.4,81.9,81.2,81.7,80.5,77.7,76,66,56
630,93.7,92.1,90.4,93.2,91.6,90.4,88.6,84.8,81.7,77.4,78.7,79.2,78.5,79.1,78,75.1,73.4,63.4,53.4
800,90.9,89.3,87.6,90.3,88.8,87.5,85.7,81.9,78.9,74.6,75.9,76.4,75.8,76.4,75.3,72.5,70.7,60.7,50.7
1000,87.9,86.4,84.6,87.3,85.8,84.5,82.7,78.9,75.9,71.8,73,73.4,73,73.6,72.6,69.8,67.9,57.9,47.9
1250,84.8,83.2,81.4,84.1,82.6,81.2,79.4,75.7,72.7,68.8,69.9,70.4,70.1,70.8,69.9,67,64.9,54.9,44.9
1600,81.3,79.8,77.9,80.6,79.1,77.7,75.9,72.2,69.3,65.6,66.7,67.3,67.2,67.9,67.1,64.2,61.8,51.8,41.8
2000,77.7,76.2,74.1,76.8,75.4,73.9,72.1,68.5,65.6,62.4,63.4,64.1,64.2,65.1,64.3,61.3,58.6,48.6,38.6
2500,73.7,72.3,70.1,72.7,71.3,69.8,67.9,64.5,61.8,59.2,60.1,60.9,61.3,62.3,61.5,58.5,55.3,45.3,35.3
3150,69.4,68.1,65.7,68.3,67,65.4,63.5,60.3,57.9,55.9,56.8,57.7,58.4,59.5,58.8,55.7,52,42,32
4000,64.8,63.6,61.1,63.5,62.4,60.8,58.8,56.1,54,52.7,53.6,54.6,55.6,56.7,56.1,53,48.8,38.8,28.8
5000,60,59.1,56.4,58.6,57.8,56.2,54.2,51.9,50.2,49.6,50.5,51.6,52.7,53.9,53.4,50.3,45.7,35.7,25.7
6300,55.3,54.6,51.7,53.7,53.2,51.6,49.8,47.8,46.7,46.5,47.5,48.5,49.8,51.1,50.6,47.6,42.7,32.7,22.7
8000,50.8,50.3,47.3,49.1,48.7,47.3,45.7,44,43.4,43.4,44.4,45.4,46.8,48.2,47.8,44.8,39.8,29.8,19.8
10000,46.6,46.2,43.1,44.8,44.4,43.1,41.9,40.3,40,40.2,41.3,42.2,43.7,45.1,44.9,42.1,36.8,26.8,16.8
12500,42.4,42.1,39,40.5,40.1,38.9,38,36.5,36.5,36.9,38,38.9,40.5,41.9,41.9,39.2,33.7,23.7,13.7
16000,38.2,38,34.8,36.3,35.8,34.8,34.1,32.6,32.9,33.4,34.6,35.4,37,38.4,38.7,36.2,30.4,20.4,10.4
20000,33.7,33.8,30.5,32.1,31.4,30.5,30,28.6,29.1,29.7,30.9,31.7,33.4,34.8,35.3,33,27,17,7
25000,29.1,29.3,26.2,27.8,27,26.1,25.7,24.4,25.1,25.8,27,27.8,29.5,30.9,31.7,29.7,23.5,13.5,3.5
