F-18A&C,F404-GE-400&402,Idle (63% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,92.8,91.5,91.3,90.1,88,86,83.4,80.3,78.3,77.5,77.3,80,81.6,81.5,80.1,76.9,74.1,70.2,64.6
250,90.3,89,88.8,87.7,85.5,83.6,81,78,75.9,75.2,75.1,77.8,79.4,79.4,78,74.7,71.9,68,62.4
315,87.7,86.5,86.2,85.1,83,81,78.5,75.5,73.5,72.9,72.8,75.5,77.1,77.2,75.8,72.5,69.7,65.8,60.2
400,85,83.8,83.5,82.4,80.3,78.4,75.9,73,71,70.5,70.5,73.2,74.9,75,73.6,70.3,67.4,63.6,57.9
500,82.2,81,80.7,79.6,77.5,75.6,73.2,70.3,68.5,68,68.2,70.9,72.5,72.7,71.3,68.1,65.1,61.3,55.6
630,79.2,78.1,77.7,76.6,74.6,72.7,70.3,67.6,65.8,65.5,65.8,68.5,70.2,70.4,69.1,65.8,62.8,58.9,53.3
800,76,75,74.6,73.5,71.5,69.7,67.4,64.8,63.1,63,63.4,66.1,67.8,68.1,66.8,63.5,60.4,56.6,51
1000,72.7,71.8,71.3,70.3,68.3,66.5,64.4,61.9,60.4,60.4,61,63.6,65.3,65.8,64.4,61.1,58,54.2,48.6
1250,69.3,68.6,68,66.9,65,63.3,61.2,59,57.6,57.8,58.5,61.1,62.8,63.4,62.1,58.8,55.5,51.7,46.2
1600,65.8,65.3,64.6,63.5,61.6,60,58,56,54.8,55.2,56,58.6,60.3,60.9,59.7,56.3,53,49.3,43.7
2000,62.3,62.1,61.2,60,58.2,56.7,54.8,53.1,52.1,52.6,53.5,56,57.6,58.4,57.2,53.9,50.5,46.8,41.3
2500,58.9,58.8,57.9,56.6,54.8,53.4,51.6,50.2,49.4,50,51,53.5,55,55.9,54.7,51.3,48,44.2,38.8
3150,55.5,55.6,54.6,53.1,51.4,50.2,48.5,47.3,46.7,47.4,48.5,50.8,52.2,53.3,52.1,48.7,45.4,41.6,36.3
4000,52.2,52.4,51.3,49.7,48.1,46.9,45.4,44.4,44,44.7,45.9,48.1,49.5,50.6,49.5,46.1,42.7,38.9,33.7
5000,48.7,49.1,47.9,46.1,44.7,43.7,42.2,41.5,41.3,42,43.3,45.4,46.6,47.8,46.8,43.3,40,36.2,31
6300,45.2,45.7,44.5,42.5,41.3,40.4,39.1,38.7,38.6,39.3,40.6,42.6,43.7,44.9,43.9,40.5,37.2,33.4,28.3
8000,41.4,42.2,40.9,38.8,37.8,37.1,36,35.7,35.8,36.5,37.9,39.7,40.7,41.9,41,37.5,34.3,30.5,25.5
10000,37.4,38.4,37.2,35.1,34.3,33.7,32.8,32.8,33,33.6,35,36.7,37.6,38.8,38,34.5,31.3,27.6,22.7
12500,33.2,34.4,33.4,31.2,30.7,30.3,29.5,29.7,30.1,30.7,32.1,33.7,34.4,35.6,34.8,31.3,28.2,24.5,19.7
16000,28.8,30.1,29.4,27.2,27,26.8,26.2,26.6,27.1,27.6,29.1,30.5,31.2,32.2,31.4,28,25,21.3,16.6
20000,24.2,25.7,25.4,23.2,23.3,23.1,22.7,23.3,24,24.3,25.9,27.1,27.7,28.6,27.9,24.5,21.7,18,13.5
25000,19.5,21.1,21.2,19.2,19.5,19.4,19,19.8,20.6,20.9,22.5,23.6,24.2,24.9,24.2,20.9,18.2,14.6,10.1
