F-18A&C,F404-GE-400&402,Engine runup (90% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,102,103.1,103,103.4,102.3,102.8,103.1,104.3,103,106.2,102.6,110.7,113.5,117.2,119.8,118,114.8,97.9,77.9
250,99.6,100.6,100.6,101,99.9,100.5,100.7,102,100.7,103.9,100.4,108.5,111.4,115.1,117.7,116,112.7,95.8,75.8
315,97,98.1,98,98.5,97.5,98.1,98.3,99.6,98.4,101.6,98.2,106.2,109.2,113,115.6,113.9,110.6,93.8,73.8
400,94.3,95.3,95.4,96,94.9,95.6,95.9,97.1,95.9,99.2,96,104,107,110.8,113.5,111.8,108.6,91.8,71.8
500,91.4,92.5,92.6,93.3,92.3,93.1,93.3,94.5,93.4,96.7,93.7,101.6,104.7,108.7,111.3,109.7,106.5,89.7,69.7
630,88.4,89.5,89.7,90.6,89.6,90.5,90.7,91.9,90.8,94.2,91.3,99.2,102.4,106.5,109.2,107.6,104.4,87.6,67.6
800,85.3,86.4,86.8,87.8,86.8,87.7,88,89.1,88.1,91.6,88.9,96.7,100,104.2,107,105.4,102.2,85.5,65.5
1000,82,83.1,83.8,85,83.9,84.9,85.2,86.2,85.4,88.9,86.4,94.1,97.6,101.9,104.7,103.2,100.1,83.4,63.4
1250,78.7,79.8,80.7,82.1,81,82.1,82.3,83.3,82.5,86.1,83.9,91.4,95,99.6,102.4,101,97.9,81.3,61.3
1600,75.3,76.6,77.7,79.3,78.1,79.1,79.3,80.2,79.5,83.2,81.2,88.7,92.4,97.2,100.1,98.7,95.6,79.1,59.1
2000,72.1,73.4,74.8,76.4,75.1,76.1,76.3,77,76.5,80.3,78.5,85.8,89.8,94.7,97.7,96.3,93.3,76.9,56.9
2500,68.9,70.3,71.9,73.4,72.1,72.9,73.1,73.7,73.3,77.2,75.7,82.7,87,92.2,95.2,93.9,90.9,74.6,54.6
3150,65.8,67.3,69.1,70.4,69.1,69.7,69.9,70.3,70,74.1,72.7,79.6,84.1,89.5,92.6,91.4,88.5,72.3,52.3
4000,62.8,64.4,66.2,67.3,65.9,66.4,66.6,66.8,66.7,70.8,69.7,76.3,81.1,86.8,90,88.7,85.9,69.9,49.9
5000,59.8,61.3,63.2,64.1,62.7,62.9,63.1,63.3,63.3,67.4,66.5,72.9,78,84,87.2,86,83.3,67.4,47.4
6300,56.6,58.2,60.1,60.7,59.3,59.4,59.5,59.7,59.9,63.9,63.3,69.4,74.7,81,84.2,83.1,80.5,64.8,44.8
8000,53.4,54.9,56.8,57.1,55.8,55.8,55.9,56.1,56.5,60.3,60,65.8,71.4,77.9,81.2,80.1,77.5,62.1,42.1
10000,50,51.5,53.3,53.3,52.2,52.1,52.2,52.5,53,56.6,56.6,62,67.9,74.7,77.9,76.9,74.4,59.2,39.2
12500,46.5,47.9,49.6,49.4,48.5,48.3,48.4,48.8,49.5,52.8,53.1,58.3,64.3,71.3,74.4,73.5,71,56.1,36.1
16000,42.8,44.1,45.7,45.2,44.6,44.5,44.5,45.1,45.9,48.9,49.5,54.4,60.6,67.6,70.7,69.8,67.5,52.9,32.9
20000,38.9,40,41.5,40.9,40.6,40.5,40.6,41.3,42.3,44.9,45.8,50.5,56.7,63.7,66.8,66,63.6,49.4,29.4
25000,34.7,35.7,37,36.4,36.4,36.3,36.4,37.4,38.4,40.8,41.9,46.4,52.6,59.6,62.5,61.9,59.5,45.7,25.7
