F-18A&C,F404-GE-400&402,Military power (94% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,107.3,111,113.2,111.7,112.7,113.6,113.9,113.6,113.9,115.7,117.8,121.5,124.1,123.8,120.1,117.5,105,95,85
250,105.3,108.9,111.1,109.6,110.6,111.4,111.7,111.4,111.6,113.5,115.6,119.3,121.9,121.7,118,115.4,102.9,92.9,82.9
315,103.2,106.8,109,107.5,108.4,109.3,109.4,109.2,109.3,111.3,113.3,117.1,119.8,119.6,115.9,113.3,100.8,90.8,80.8
400,101,104.6,106.9,105.3,106.2,107,107.1,106.9,107,109,111,114.8,117.6,117.4,113.7,111.1,98.8,88.8,78.8
500,98.9,102.5,104.8,103.2,104,104.8,104.8,104.5,104.6,106.6,108.6,112.5,115.4,115.2,111.6,109,96.6,86.6,76.6
630,96.7,100.3,102.6,101,101.7,102.4,102.4,102,102.1,104.1,106.2,110.2,113.1,112.9,109.4,106.8,94.5,84.5,74.5
800,94.5,98,100.3,98.7,99.4,100.1,99.9,99.5,99.5,101.6,103.7,107.8,110.8,110.6,107.1,104.6,92.4,82.4,72.4
1000,92.2,95.7,98,96.4,97,97.6,97.4,96.9,96.8,99,101.1,105.3,108.5,108.3,104.8,102.4,90.2,80.2,70.2
1250,89.9,93.4,95.7,94,94.5,95.1,94.7,94.2,94,96.3,98.4,102.7,106.1,105.9,102.5,100.1,88,78,68
1600,87.5,90.9,93.3,91.6,91.9,92.5,92,91.4,91.2,93.4,95.6,100,103.6,103.4,100.1,97.8,85.8,75.8,65.8
2000,85,88.4,90.8,89.1,89.2,89.7,89.1,88.4,88.1,90.4,92.6,97.3,101.1,100.9,97.7,95.4,83.5,73.5,63.5
2500,82.5,85.8,88.2,86.5,86.4,86.8,86.1,85.3,84.9,87.3,89.6,94.4,98.4,98.2,95.2,93,81.2,71.2,61.2
3150,79.8,83.1,85.5,83.7,83.5,83.8,82.9,82,81.6,83.9,86.4,91.5,95.7,95.5,92.6,90.5,78.8,68.8,58.8
4000,76.9,80.2,82.6,80.8,80.3,80.6,79.5,78.5,78.1,80.4,83.1,88.4,92.9,92.7,90,87.9,76.4,66.4,56.4
5000,73.9,77.1,79.5,77.7,77,77.1,75.9,74.9,74.4,76.8,79.7,85.1,90,89.8,87.3,85.3,74,64,54
6300,70.7,73.8,76.2,74.3,73.4,73.4,72.1,71,70.5,72.9,76.1,81.7,86.9,86.8,84.5,82.6,71.4,61.4,51.4
8000,67.2,70.2,72.6,70.7,69.6,69.5,68,66.9,66.5,69,72.4,78.2,83.7,83.7,81.5,79.8,68.8,58.8,48.8
10000,63.4,66.3,68.7,66.8,65.4,65.2,63.6,62.6,62.4,64.9,68.6,74.4,80.3,80.5,78.4,76.8,66.1,56.1,46.1
12500,59.3,62.1,64.5,62.5,60.9,60.6,59,58.2,58.1,60.8,64.6,70.5,76.7,77.1,75.2,73.7,63.3,53.3,43.3
16000,54.7,57.5,59.8,57.8,56,55.6,54.1,53.8,53.9,56.5,60.5,66.3,72.9,73.6,71.8,70.5,60.3,50.3,40.3
20000,49.8,52.5,54.7,52.6,50.9,50.5,49.2,49.2,49.6,52.2,56.2,62,68.8,69.9,68.2,67.2,57.1,47.1,37.1
25000,44.4,47,49.1,47.2,45.5,45.2,44.3,44.7,45.3,47.8,51.8,57.5,64.5,66,64.4,63.6,53.8,43.8,33.8
