F-18E&F,F414-GE-400,Military power (96% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,105.6,107.9,109.2,109.2,111.7,113.6,114.9,115.4,116.1,117.5,118.9,121.6,124.8,126,123.2,122.4,112,107,97
250,103.5,105.8,107,107.1,109.6,111.4,112.7,113.2,113.9,115.3,116.7,119.4,122.6,123.9,121.1,120.3,110,105,95
315,101.4,103.7,104.9,104.9,107.3,109.1,110.5,110.9,111.6,113,114.5,117.1,120.4,121.7,119,118.2,107.9,102.9,92.9
400,99.2,101.5,102.7,102.6,105.1,106.8,108.2,108.6,109.3,110.7,112.2,114.9,118.2,119.5,116.8,116,105.8,100.8,90.8
500,97,99.4,100.5,100.4,102.8,104.5,105.9,106.2,106.9,108.3,109.8,112.5,115.9,117.2,114.6,113.9,103.7,98.7,88.7
630,94.8,97.1,98.2,98,100.4,102.1,103.4,103.8,104.5,105.8,107.4,110.2,113.6,115,112.4,111.7,101.6,96.6,86.6
800,92.5,94.9,95.9,95.6,98,99.6,101,101.3,101.9,103.3,104.9,107.7,111.2,112.6,110.1,109.6,99.4,94.4,84.4
1000,90.1,92.6,93.6,93.2,95.4,97,98.4,98.7,99.3,100.7,102.3,105.2,108.8,110.3,107.8,107.3,97.2,92.2,82.2
1250,87.7,90.2,91.2,90.6,92.8,94.4,95.7,95.9,96.6,98,99.6,102.5,106.3,107.8,105.5,105.1,95,90,80
1600,85.3,87.8,88.7,88,90.1,91.6,92.9,93.1,93.8,95.1,96.9,99.8,103.7,105.3,103.1,102.8,92.8,87.8,77.8
2000,82.7,85.2,86.1,85.3,87.3,88.6,90,90.1,90.8,92.2,93.9,96.9,100.9,102.7,100.7,100.5,90.5,85.5,75.5
2500,80,82.6,83.5,82.5,84.3,85.5,86.8,86.9,87.6,89.1,90.9,93.9,98.1,100,98.2,98.2,88.2,83.2,73.2
3150,77.2,79.9,80.7,79.5,81.1,82.2,83.5,83.5,84.3,85.8,87.6,90.7,95.1,97.3,95.7,95.8,85.8,80.8,70.8
4000,74.3,77,77.7,76.4,77.7,78.7,79.9,79.8,80.7,82.2,84.2,87.3,92,94.4,93.2,93.3,83.3,78.3,68.3
5000,71.2,73.9,74.6,73,74,74.9,76.1,75.9,76.8,78.5,80.5,83.7,88.6,91.4,90.5,90.7,80.8,75.8,65.8
6300,67.9,70.7,71.3,69.5,70.1,70.9,71.9,71.6,72.7,74.5,76.5,79.8,85.1,88.3,87.8,88.1,78.2,73.2,63.2
8000,64.3,67.2,67.8,65.7,65.9,66.5,67.3,67.1,68.3,70.1,72.3,75.6,81.4,85.2,85,85.3,75.5,70.5,60.5
10000,60.6,63.5,64.1,61.7,61.4,61.8,62.5,62.4,63.7,65.6,67.8,71.2,77.6,81.9,82.1,82.4,72.7,67.7,57.7
12500,56.6,59.5,60.1,57.4,56.6,57,57.5,57.6,59,60.9,63.2,66.7,73.7,78.6,79.1,79.3,69.8,64.8,54.8
16000,52.4,55.3,55.8,52.8,51.7,52.2,52.6,53,54.4,56.2,58.6,62.3,69.7,75.2,76,76.1,66.6,61.6,51.6
20000,47.9,50.8,51.3,48.1,46.8,47.6,48,48.8,50.1,51.7,54.1,57.9,65.8,71.7,72.7,72.7,63.4,58.4,48.4
25000,43.3,46.1,46.5,43.2,42,43.2,43.7,44.7,46,47.5,49.9,53.7,61.9,68,69.1,69,59.8,54.8,44.8
