F-18E&F,F414-GE-400,Minimum power A/B (97% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,106.5,108.9,108.2,110.7,113.5,115.3,116.4,116.9,117.3,119.1,120.6,122.9,126.8,125.5,123.3,121.9,111.8,106.8,96.8
250,104.4,106.8,106.1,108.5,111.3,113.1,114.2,114.7,115.1,116.9,118.4,120.7,124.7,123.4,121.1,119.8,109.7,104.7,94.7
315,102.3,104.6,104,106.3,109.1,110.8,112,112.5,112.8,114.7,116.2,118.5,122.5,121.2,119,117.7,107.7,102.7,92.7
400,100.1,102.5,101.8,104.1,106.8,108.6,109.7,110.2,110.5,112.4,113.9,116.3,120.3,119,116.8,115.6,105.5,100.5,90.5
500,97.9,100.3,99.6,101.8,104.5,106.3,107.4,107.9,108.1,110,111.6,114,118.1,116.8,114.6,113.4,103.4,98.4,88.4
630,95.7,98,97.4,99.5,102.1,103.9,105,105.5,105.7,107.6,109.2,111.7,115.8,114.6,112.4,111.3,101.3,96.3,86.3
800,93.4,95.8,95.2,97.1,99.6,101.4,102.5,103,103.2,105.2,106.7,109.3,113.4,112.3,110.2,109.1,99.1,94.1,84.1
1000,91.1,93.5,92.9,94.7,97,98.9,99.9,100.4,100.7,102.6,104.2,106.8,111.1,109.9,107.9,106.8,96.9,91.9,81.9
1250,88.7,91.1,90.6,92.2,94.4,96.3,97.3,97.8,98,100,101.6,104.2,108.6,107.5,105.6,104.6,94.7,89.7,79.7
1600,86.3,88.6,88.2,89.6,91.6,93.5,94.5,95,95.2,97.2,98.9,101.6,106.1,105,103.2,102.3,92.4,87.4,77.4
2000,83.7,86.1,85.7,86.9,88.7,90.7,91.6,92.1,92.3,94.4,96,98.9,103.4,102.5,100.8,100,90.1,85.1,75.1
2500,81.1,83.5,83.1,84.1,85.7,87.6,88.5,89,89.2,91.3,93.1,96,100.7,99.9,98.3,97.6,87.8,82.8,72.8
3150,78.3,80.7,80.3,81.1,82.4,84.4,85.2,85.7,86,88.1,89.9,92.9,97.9,97.2,95.8,95.2,85.4,80.4,70.4
4000,75.4,77.8,77.5,78,79,80.9,81.7,82.2,82.5,84.7,86.6,89.7,94.8,94.4,93.2,92.7,82.9,77.9,67.9
5000,72.3,74.8,74.5,74.7,75.3,77.1,77.9,78.4,78.8,81,83,86.2,91.7,91.5,90.6,90.2,80.3,75.3,65.3
6300,69,71.5,71.3,71.2,71.4,73.1,73.8,74.3,74.8,77,79.2,82.5,88.3,88.5,87.9,87.5,77.7,72.7,62.7
8000,65.5,68.1,67.9,67.4,67.2,68.7,69.3,69.9,70.5,72.8,75,78.5,84.7,85.4,85.1,84.8,75,70,60
10000,61.8,64.4,64.2,63.4,62.7,64,64.5,65.1,65.9,68.2,70.6,74.2,81,82.3,82.3,82,72.2,67.2,57.2
12500,57.8,60.4,60.3,59.1,57.9,59.1,59.5,60.2,61.2,63.5,65.9,69.7,77.1,79.1,79.4,79,69.2,64.2,54.2
16000,53.6,56.2,56.1,54.5,53.1,54.1,54.6,55.4,56.4,58.6,61.2,65,73,75.8,76.4,75.9,66.1,61.1,51.1
20000,49.2,51.8,51.6,49.7,48.3,49.2,49.9,50.8,51.8,53.9,56.5,60.4,68.9,72.3,73.2,72.6,62.9,57.9,47.9
25000,44.5,47.1,46.9,44.8,43.6,44.6,45.5,46.5,47.6,49.5,52,55.9,64.8,68.7,69.8,69,59.4,54.4,44.4
