F-18E&F,F414-GE-400,Maximum power A/B (98% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,110.1,113.5,115.3,114.9,117.8,120.1,121,121.7,124.3,124.3,124.8,126.6,128.7,126.5,123.7,121.9,118.2,113.2,103.2
250,108,111.4,113.1,112.7,115.6,117.9,118.8,119.5,122.2,122.1,122.7,124.5,126.6,124.4,121.6,119.8,116.1,111.1,101.1
315,105.8,109.3,111,110.5,113.4,115.7,116.6,117.3,119.9,119.8,120.4,122.3,124.4,122.2,119.4,117.7,114,109,99
400,103.7,107.1,108.8,108.3,111.1,113.4,114.3,115,117.7,117.6,118.2,120.1,122.3,120.1,117.3,115.6,111.9,106.9,96.9
500,101.5,104.9,106.6,106,108.8,111,112,112.6,115.4,115.3,115.9,117.8,120,117.9,115.1,113.4,109.7,104.7,94.7
630,99.3,102.7,104.3,103.7,106.4,108.6,109.6,110.2,113,112.9,113.5,115.5,117.8,115.6,112.9,111.2,107.5,102.5,92.5
800,97,100.5,102,101.3,103.9,106.1,107.1,107.8,110.6,110.5,111.1,113.1,115.5,113.4,110.6,109,105.3,100.3,90.3
1000,94.7,98.2,99.7,98.9,101.4,103.5,104.6,105.2,108.1,107.9,108.6,110.7,113.1,111.1,108.3,106.8,103.1,98.1,88.1
1250,92.4,95.8,97.3,96.4,98.8,100.9,102,102.6,105.5,105.3,106,108.2,110.7,108.7,106,104.6,100.8,95.8,85.8
1600,90,93.4,94.9,93.9,96.1,98.1,99.2,99.8,102.8,102.6,103.3,105.7,108.3,106.4,103.7,102.3,98.5,93.5,83.5
2000,87.5,90.9,92.3,91.2,93.4,95.2,96.3,96.9,99.9,99.8,100.6,103,105.7,103.9,101.3,100,96.1,91.1,81.1
2500,84.9,88.3,89.7,88.5,90.4,92.2,93.3,93.9,96.9,96.8,97.6,100.2,103.1,101.4,98.9,97.7,93.7,88.7,78.7
3150,82.3,85.6,87,85.6,87.4,89,90.1,90.7,93.8,93.7,94.6,97.3,100.4,98.9,96.4,95.3,91.2,86.2,76.2
4000,79.5,82.8,84.2,82.6,84.2,85.6,86.7,87.2,90.4,90.3,91.3,94.2,97.5,96.3,93.9,92.8,88.6,83.6,73.6
5000,76.6,79.8,81.2,79.4,80.8,82,83,83.5,86.7,86.7,87.8,90.9,94.6,93.7,91.3,90.3,85.9,80.9,70.9
6300,73.5,76.7,78.1,76.1,77.1,78.2,79.1,79.5,82.8,82.8,84.1,87.4,91.5,90.9,88.6,87.7,83.2,78.2,68.2
8000,70.2,73.4,74.8,72.5,73.3,74.1,74.9,75.2,78.5,78.6,80.1,83.7,88.3,88.2,85.9,85,80.3,75.3,65.3
10000,66.7,69.8,71.3,68.7,69.1,69.8,70.4,70.7,74,74.1,76,79.9,85,85.4,83.2,82.2,77.3,72.3,62.3
12500,63,66,67.4,64.7,64.8,65.3,65.6,66,69.2,69.4,71.6,75.9,81.6,82.5,80.3,79.3,74.1,69.1,59.1
16000,59,61.9,63.3,60.4,60.1,60.6,60.8,61.3,64.4,64.5,67.3,71.9,78.1,79.5,77.3,76.2,70.8,65.8,55.8
20000,54.7,57.6,58.9,55.8,55.3,55.9,56.2,56.8,59.8,59.8,63,67.8,74.6,76.4,74.2,72.9,67.3,62.3,52.3
25000,50.2,52.9,54,50.9,50.4,51.2,51.7,52.5,55.4,55.4,58.8,63.8,70.9,73.1,70.9,69.4,63.5,58.5,48.5
