F-35B,F-135-PW-600,Military power A/B (100% ETR),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,113.6,114,116.5,117.6,117.8,117.5,117.7,118.4,118.7,119.6,121.8,124.2,128.4,128.1,125.8,122.8,115,108.4,101.7
250,111.5,112,114.4,115.5,115.7,115.4,115.6,116.2,116.5,117.4,119.6,122,126.3,126,123.7,120.7,113,106.3,99.6
315,109.4,109.9,112.3,113.4,113.6,113.2,113.4,114,114.3,115.2,117.4,119.8,124.2,123.9,121.6,118.6,110.9,104.2,97.5
400,107.3,107.8,110.2,111.2,111.4,111,111.2,111.8,112,112.9,115.1,117.6,122.1,121.7,119.5,116.5,108.7,102.1,95.4
500,105.2,105.6,108,109,109.2,108.8,108.9,109.5,109.7,110.5,112.8,115.4,119.9,119.5,117.3,114.4,106.6,99.9,93.3
630,103,103.5,105.8,106.8,107,106.5,106.6,107.1,107.3,108.1,110.5,113.1,117.7,117.3,115.1,112.3,104.4,97.8,91.1
800,100.8,101.3,103.6,104.6,104.7,104.2,104.3,104.7,104.8,105.6,108,110.8,115.4,115.1,112.9,110.1,102.2,95.6,88.9
1000,98.6,99,101.3,102.3,102.3,101.8,101.8,102.3,102.3,103.1,105.6,108.4,113.2,112.8,110.7,107.9,100,93.3,86.7
1250,96.3,96.7,99,99.9,100,99.3,99.3,99.7,99.7,100.4,103,106,110.8,110.5,108.4,105.6,97.7,91.1,84.4
1600,93.9,94.4,96.6,97.5,97.5,96.8,96.7,97,97,97.7,100.3,103.5,108.5,108.1,106.1,103.4,95.4,88.8,82.1
2000,91.5,91.9,94.2,95,94.9,94.2,94.1,94.3,94.2,94.8,97.6,100.9,106,105.7,103.8,101,93.1,86.4,79.8
2500,89,89.4,91.6,92.4,92.3,91.5,91.3,91.4,91.2,91.9,94.8,98.3,103.6,103.2,101.4,98.7,90.7,84,77.4
3150,86.4,86.8,89,89.7,89.6,88.6,88.5,88.4,88.2,88.8,91.9,95.6,101,100.6,98.9,96.3,88.2,81.6,74.9
4000,83.7,84.1,86.2,86.8,86.7,85.7,85.5,85.3,85,85.6,88.9,92.8,98.3,98,96.4,93.8,85.7,79.1,72.4
5000,80.9,81.3,83.3,83.9,83.7,82.5,82.4,82.1,81.7,82.4,85.8,89.9,95.6,95.3,93.8,91.2,83.1,76.5,69.8
6300,77.9,78.3,80.2,80.7,80.5,79.3,79.1,78.6,78.2,79,82.6,87,92.7,92.5,91.1,88.6,80.5,73.8,67.1
8000,74.7,75,77,77.4,77.2,75.8,75.7,75,74.5,75.4,79.2,83.9,89.6,89.5,88.2,85.8,77.7,71,64.4
10000,71.3,71.6,73.5,73.8,73.6,72,72,71.2,70.6,71.8,75.7,80.6,86.4,86.5,85.3,83,74.8,68.1,61.5
12500,67.6,67.9,69.7,70,69.8,68,68,67.1,66.6,68,72,77.1,83.1,83.2,82.2,80,71.8,65.1,58.5
16000,63.6,64,65.6,65.8,65.6,63.6,63.7,62.7,62.3,64,68,73.4,79.5,79.8,78.9,76.8,68.6,61.9,55.3
20000,59.2,59.6,61.1,61.3,61,58.9,59,58.1,57.8,59.9,63.8,69.4,75.6,76.2,75.5,73.5,65.2,58.6,51.9
25000,54.5,54.9,56.2,56.3,55.9,53.7,53.9,53.2,53,55.5,59.2,65.1,71.4,72.3,71.8,69.9,61.7,55,48.4
