F-35B,F-135-PW-600,50% ETR,,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,106,104.8,103.4,102.4,101.8,101.4,101.9,102.9,104.2,105.6,108.4,110.4,111.9,113.6,116.5,116.5,111.8,105.2,98.5
250,103.8,102.6,101.2,100.3,99.6,99.2,99.8,100.8,102.1,103.5,106.3,108.3,109.8,111.5,114.4,114.5,109.8,103.2,96.5
315,101.5,100.4,99,98,97.4,97,97.6,98.6,99.9,101.3,104.1,106.1,107.7,109.4,112.4,112.4,107.8,101.1,94.5
400,99.2,98.1,96.7,95.8,95.2,94.8,95.4,96.4,97.7,99.1,101.9,104,105.6,107.4,110.3,110.4,105.7,99.1,92.4
500,96.8,95.7,94.3,93.5,93,92.5,93.2,94.2,95.4,96.8,99.7,101.8,103.5,105.3,108.3,108.3,103.6,97,90.3
630,94.4,93.3,91.9,91.1,90.7,90.2,90.9,91.9,93.1,94.5,97.4,99.6,101.3,103.1,106.2,106.2,101.6,94.9,88.3
800,91.8,90.7,89.4,88.7,88.3,87.9,88.5,89.5,90.8,92.2,95.1,97.3,99.1,101,104,104.1,99.5,92.8,86.2
1000,89.2,88.1,86.9,86.2,85.9,85.4,86.1,87.1,88.4,89.8,92.7,95,96.9,98.8,101.9,102,97.4,90.7,84
1250,86.4,85.4,84.2,83.6,83.4,82.9,83.6,84.7,85.9,87.3,90.3,92.6,94.6,96.6,99.7,99.9,95.2,88.6,81.9
1600,83.6,82.6,81.4,80.9,80.8,80.3,81.1,82.1,83.4,84.7,87.8,90.2,92.2,94.4,97.5,97.7,93,86.4,79.7
2000,80.5,79.6,78.6,78.2,78.1,77.6,78.5,79.5,80.7,82.1,85.3,87.7,89.8,92.1,95.3,95.5,90.8,84.2,77.5
2500,77.4,76.6,75.6,75.3,75.4,74.9,75.8,76.8,78.1,79.4,82.6,85.2,87.4,89.8,93,93.2,88.6,81.9,75.3
3150,74.1,73.4,72.6,72.4,72.6,72.1,73.1,74.1,75.3,76.7,79.9,82.5,84.9,87.4,90.7,90.9,86.3,79.6,73
4000,70.7,70.2,69.5,69.4,69.7,69.2,70.2,71.2,72.4,73.8,77.2,79.8,82.3,85,88.3,88.6,83.9,77.3,70.6
5000,67.2,66.9,66.4,66.4,66.7,66.2,67.3,68.2,69.5,70.9,74.3,77.1,79.6,82.5,85.8,86.1,81.5,74.8,68.1
6300,63.6,63.5,63.2,63.3,63.7,63.1,64.3,65.2,66.4,67.9,71.3,74.2,76.9,79.9,83.2,83.6,78.9,72.3,65.6
8000,60,60.1,60,60.1,60.5,59.9,61.1,62,63.2,64.7,68.2,71.2,74,77.2,80.5,80.9,76.2,69.6,62.9
10000,56.3,56.6,56.8,56.8,57.2,56.5,57.8,58.6,59.8,61.4,64.9,68,71,74.4,77.6,78.1,73.4,66.8,60.1
12500,52.7,53.2,53.4,53.4,53.7,53.1,54.3,55.1,56.2,57.9,61.4,64.6,67.7,71.5,74.6,75.2,70.5,63.8,57.2
16000,48.9,49.6,50,49.9,50,49.4,50.6,51.3,52.5,54.3,57.7,61,64.3,68.3,71.4,72.1,67.3,60.6,54
20000,45.1,45.9,46.4,46.2,46.2,45.6,46.7,47.4,48.4,50.4,53.7,57.2,60.7,65,67.9,68.8,63.9,57.2,50.6
25000,41,42,42.6,42.3,42.1,41.5,42.5,43.2,44.1,46.3,49.4,53,56.8,61.3,64.2,65.2,60.2,53.5,46.9
