F-35B,F-135-PW-600,HSLT MBIT (996% ETR),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,104.7,103.2,101.1,98.8,96.6,95.4,94.7,94.5,95.6,96.5,98.7,99.9,100.2,99.5,100.4,101.6,94.7,88.1,81.4
250,102.5,101,98.9,96.6,94.4,93.3,92.6,92.4,93.5,94.4,96.5,97.8,98.2,97.5,98.3,99.6,92.7,86,79.3
315,100.3,98.7,96.6,94.3,92.2,91,90.4,90.2,91.3,92.2,94.4,95.7,96.1,95.4,96.3,97.5,90.6,83.9,77.3
400,97.9,96.4,94.3,92,89.9,88.8,88.1,88,89.1,90,92.2,93.5,94,93.3,94.2,95.5,88.6,81.9,75.2
500,95.5,94,91.9,89.7,87.6,86.5,85.9,85.8,86.9,87.8,90,91.4,91.8,91.2,92.1,93.4,86.5,79.8,73.1
630,93.1,91.5,89.4,87.2,85.3,84.1,83.5,83.5,84.6,85.5,87.8,89.2,89.7,89.1,90.1,91.4,84.4,77.7,71
800,90.5,89,86.9,84.7,82.8,81.7,81.2,81.1,82.3,83.2,85.5,86.9,87.5,86.9,88,89.3,82.3,75.6,68.9
1000,87.8,86.3,84.2,82.1,80.3,79.2,78.7,78.7,79.9,80.8,83.2,84.7,85.3,84.8,85.8,87.2,80.1,73.5,66.8
1250,85,83.5,81.5,79.4,77.7,76.6,76.2,76.3,77.5,78.4,80.8,82.4,83.1,82.6,83.7,85.1,78,71.3,64.6
1600,82,80.6,78.6,76.5,75,73.9,73.7,73.8,75.1,76,78.4,80.1,80.8,80.4,81.5,82.9,75.8,69.2,62.5
2000,78.9,77.6,75.5,73.6,72.2,71.2,71,71.2,72.5,73.5,76,77.7,78.5,78.1,79.3,80.8,73.6,67,60.3
2500,75.6,74.3,72.4,70.5,69.3,68.3,68.3,68.6,69.9,70.9,73.5,75.3,76.1,75.8,77.1,78.6,71.4,64.7,58.1
3150,72.1,70.9,69.1,67.3,66.4,65.4,65.6,65.8,67.3,68.2,70.9,72.8,73.6,73.4,74.8,76.4,69.1,62.5,55.8
4000,68.4,67.4,65.8,64.1,63.3,62.5,62.8,63.1,64.5,65.5,68.2,70.2,71.1,71,72.5,74.1,66.8,60.2,53.5
5000,64.6,63.8,62.4,60.8,60.3,59.4,59.9,60.2,61.7,62.7,65.5,67.5,68.5,68.5,70.1,71.8,64.5,57.8,51.1
6300,60.6,60.1,59,57.6,57.2,56.4,56.9,57.2,58.8,59.8,62.6,64.7,65.8,66,67.6,69.4,62.1,55.4,48.7
8000,56.6,56.4,55.7,54.4,54,53.3,53.8,54.2,55.7,56.8,59.6,61.8,63,63.3,65.1,66.9,59.6,52.9,46.2
10000,52.6,52.8,52.5,51.2,50.8,50,50.7,51,52.4,53.6,56.5,58.8,60,60.5,62.4,64.4,57,50.3,43.7
12500,48.7,49.2,49.2,48.1,47.5,46.7,47.3,47.6,49,50.2,53.1,55.5,56.8,57.6,59.7,61.7,54.3,47.7,41
16000,44.8,45.6,45.9,44.8,44,43.3,43.8,44,45.3,46.7,49.6,52,53.5,54.5,56.8,58.9,51.5,44.8,38.2
20000,40.9,41.9,42.5,41.4,40.4,39.7,40.1,40.3,41.4,43,45.8,48.3,49.9,51.2,53.8,55.9,48.6,41.9,35.2
25000,36.9,38.1,39,37.9,36.7,35.9,36.2,36.3,37.2,39.1,41.7,44.2,46.1,47.7,50.6,52.8,45.4,38.8,32.1
