F-5A&B,J85-GE-13,Maximum power A/B (100% RPM),,,,,,,,,,,,,,,,,
200,104.4,105.2,106.3,106.4,105.5,102.7,107,108.5,109.4,109.7,109.2,113.4,120,118.6,118.3,114.8,106.9,86.6,66.6
250,102.2,103.1,104.1,104.2,103.3,100.5,104.8,106.3,107.2,107.5,107.1,111.4,117.9,116.6,116.2,112.7,104.8,84.5,64.5
315,100.1,101,102,102.1,101.1,98.3,102.6,104,105,105.3,105,109.3,115.7,114.5,114.1,110.7,102.8,82.4,62.4
400,97.9,98.8,99.8,99.9,98.9,96.1,100.3,101.7,102.7,103,102.8,107.1,113.5,112.4,112,108.6,100.7,80.3,60.3
500,95.7,96.6,97.6,97.6,96.7,93.9,98,99.4,100.4,100.7,100.6,105,111.3,110.3,109.9,106.4,98.5,78.1,58.1
630,93.4,94.3,95.3,95.3,94.3,91.6,95.6,96.9,97.9,98.3,98.4,102.8,109.1,108.1,107.7,104.3,96.4,75.9,55.9
800,91.1,92,93,93,92,89.2,93.1,94.4,95.5,95.9,96.1,100.6,106.8,106,105.5,102.1,94.2,73.7,53.7
1000,88.7,89.7,90.6,90.6,89.5,86.8,90.5,91.8,92.9,93.4,93.7,98.3,104.5,103.8,103.3,100,92,71.4,51.4
1250,86.2,87.2,88.2,88.1,87,84.3,87.9,89.1,90.3,90.8,91.4,96,102.1,101.5,101,97.7,89.7,69.1,49.1
1600,83.7,84.7,85.6,85.5,84.3,81.7,85.1,86.3,87.6,88.1,88.9,93.7,99.7,99.3,98.7,95.5,87.4,66.8,46.8
2000,81,82.1,83,82.8,81.6,79,82.3,83.4,84.7,85.4,86.4,91.3,97.2,96.9,96.3,93.1,85.1,64.4,44.4
2500,78.3,79.4,80.2,80,78.8,76.2,79.3,80.4,81.8,82.5,83.8,88.8,94.7,94.5,93.9,90.8,82.7,61.9,41.9
3150,75.5,76.6,77.4,77.1,75.8,73.3,76.2,77.3,78.8,79.6,81.1,86.2,92.1,92,91.3,88.3,80.2,59.3,39.3
4000,72.5,73.6,74.4,74,72.7,70.3,72.9,74.1,75.6,76.5,78.3,83.5,89.4,89.5,88.8,85.8,77.6,56.7,36.7
5000,69.4,70.5,71.2,70.8,69.5,67.2,69.6,70.8,72.4,73.2,75.4,80.7,86.6,86.8,86.1,83.3,75,54,34
6300,66.2,67.3,67.9,67.4,66.1,64,66.1,67.4,69,69.9,72.4,77.8,83.6,84.1,83.3,80.6,72.2,51.2,31.2
8000,62.8,63.9,64.4,63.9,62.6,60.7,62.6,63.8,65.5,66.4,69.2,74.7,80.5,81.2,80.4,77.8,69.3,48.3,28.3
10000,59.2,60.3,60.8,60.1,59,57.2,58.9,60.2,61.8,62.7,65.9,71.5,77.3,78.2,77.4,74.9,66.4,45.2,25.2
12500,55.5,56.6,56.9,56.2,55.2,53.7,55.1,56.5,58,58.9,62.4,68,73.9,75,74.2,71.8,63.2,42,22
16000,51.6,52.6,52.8,52.1,51.3,50,51.3,52.6,54,54.9,58.7,64.4,70.3,71.7,70.8,68.6,60,38.7,18.7
20000,47.5,48.4,48.5,47.7,47.2,46.2,47.2,48.5,49.8,50.8,54.7,60.5,66.4,68.2,67.3,65.2,56.5,35.2,15.2
25000,43.2,43.9,43.9,43.1,42.8,42.2,43,44.3,45.4,46.5,50.5,56.4,62.3,64.4,63.5,61.5,52.8,31.6,11.6
25000,38.7,39.8,39.8,38.6,37.5,36.8,37.2,37.7,40.1,40.8,42.6,46.6,52.1,54.2,56.5,57,52.5,27,7
