F-5A&B,J85-GE-13,Idle (50% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,83.2,81.7,81.8,80.4,79.8,76.3,71.6,71.4,71.1,66.1,67.1,68.2,69.4,69.1,68,66.4,66.3,65.2,58.8
250,80.9,79.4,79.5,78.1,77.5,74,69.4,69.1,68.9,64,64.9,66,67.4,67,65.9,64.3,64.2,63.1,56.7
315,78.6,77.1,77.2,75.7,75.1,71.7,67.1,66.8,66.6,61.7,62.8,63.9,65.3,64.9,63.8,62.1,62,61,54.6
400,76.2,74.6,74.8,73.3,72.6,69.3,64.8,64.4,64.3,59.5,60.6,61.7,63.2,62.8,61.6,60,59.8,58.9,52.5
500,73.8,72.2,72.3,70.8,70.1,66.8,62.4,61.9,61.9,57.2,58.3,59.5,61.1,60.7,59.4,57.8,57.5,56.7,50.4
630,71.2,69.6,69.7,68.1,67.4,64.3,59.9,59.4,59.4,54.9,56.1,57.2,58.9,58.5,57.2,55.5,55.2,54.5,48.2
800,68.6,66.9,67,65.4,64.7,61.6,57.4,56.7,56.8,52.5,53.8,55,56.8,56.3,54.9,53.3,52.9,52.2,46
1000,65.8,64.2,64.2,62.6,61.8,58.8,54.7,54,54.2,50.1,51.5,52.7,54.6,54.1,52.6,51,50.5,50,43.7
1250,63,61.3,61.3,59.6,58.7,55.9,52,51.2,51.5,47.6,49.1,50.3,52.3,51.9,50.3,48.7,48.1,47.7,41.4
1600,60,58.3,58.3,56.4,55.6,52.9,49.2,48.3,48.8,45.2,46.8,48,50,49.6,47.9,46.3,45.7,45.3,39.1
2000,56.8,55.2,55.1,53.2,52.3,49.8,46.3,45.5,46,42.8,44.4,45.6,47.7,47.2,45.5,43.9,43.2,43,36.8
2500,53.5,51.9,51.8,49.8,48.9,46.7,43.4,42.8,43.3,40.3,42,43.2,45.3,44.8,43,41.4,40.7,40.5,34.4
3150,50.1,48.6,48.4,46.3,45.4,43.4,40.5,40.1,40.6,37.9,39.6,40.8,42.9,42.4,40.5,39,38.1,38,32
4000,46.4,45.1,44.9,42.7,41.8,40.1,37.6,37.4,37.8,35.4,37.1,38.3,40.3,39.9,37.9,36.4,35.5,35.5,29.5
5000,42.6,41.6,41.2,39,38.2,36.7,34.6,34.7,35.1,33,34.6,35.8,37.7,37.3,35.2,33.8,32.9,32.9,26.9
6300,38.7,38,37.5,35.3,34.5,33.3,31.7,32,32.3,30.4,32,33.1,35,34.5,32.5,31.1,30.1,30.1,24.2
8000,34.7,34.3,33.7,31.6,31,30,28.8,29.3,29.5,27.8,29.3,30.4,32.1,31.7,29.6,28.3,27.3,27.3,21.4
10000,30.6,30.5,30,28,27.4,26.7,25.8,26.5,26.6,25.1,26.6,27.5,29.1,28.7,26.7,25.4,24.4,24.3,18.6
12500,26.5,26.6,26.2,24.5,24,23.4,22.7,23.6,23.6,22.2,23.7,24.5,25.9,25.6,23.6,22.4,21.4,21.2,15.6
16000,22.4,22.7,22.5,21,20.5,20.1,19.5,20.5,20.5,19.3,20.6,21.4,22.5,22.2,20.4,19.3,18.3,17.9,12.4
20000,18.3,18.7,18.7,17.4,16.9,16.6,16.1,17.3,17.2,16.1,17.3,18.1,18.9,18.7,17,16.1,15.1,14.5,9.2
25000,14.2,14.6,14.8,13.7,13.2,13,12.5,13.8,13.6,12.7,13.9,14.5,15.1,14.9,13.5,12.7,11.8,10.9,5.8
