F-5,J85-GE-21,Idle (50% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,84.1,82.6,82.7,81.3,80.7,77.2,72.5,72.3,72,67,68,69.1,70.3,70,68.9,67.3,67.2,66.1,59.7
250,81.8,80.3,80.4,79,78.4,74.9,70.3,70,69.8,64.9,65.8,66.9,68.3,67.9,66.8,65.2,65.1,64,57.6
315,79.5,78,78.1,76.6,76,72.6,68,67.7,67.5,62.6,63.7,64.8,66.2,65.8,64.7,63,62.9,61.9,55.5
400,77.1,75.5,75.7,74.2,73.5,70.2,65.7,65.3,65.2,60.4,61.5,62.6,64.1,63.7,62.5,60.9,60.7,59.8,53.4
500,74.7,73.1,73.2,71.7,71,67.7,63.3,62.8,62.8,58.1,59.2,60.4,62,61.6,60.3,58.7,58.4,57.6,51.3
630,72.1,70.5,70.6,69,68.3,65.2,60.8,60.3,60.3,55.8,57,58.1,59.8,59.4,58.1,56.4,56.1,55.4,49.1
800,69.5,67.8,67.9,66.3,65.6,62.5,58.3,57.6,57.7,53.4,54.7,55.9,57.7,57.2,55.8,54.2,53.8,53.1,46.9
1000,66.7,65.1,65.1,63.5,62.7,59.7,55.6,54.9,55.1,51,52.4,53.6,55.5,55,53.5,51.9,51.4,50.9,44.6
1250,63.9,62.2,62.2,60.5,59.6,56.8,52.9,52.1,52.4,48.5,50,51.2,53.2,52.8,51.2,49.6,49,48.6,42.3
1600,60.9,59.2,59.2,57.3,56.5,53.8,50.1,49.2,49.7,46.1,47.7,48.9,50.9,50.5,48.8,47.2,46.6,46.2,40
2000,57.7,56.1,56,54.1,53.2,50.7,47.2,46.4,46.9,43.7,45.3,46.5,48.6,48.1,46.4,44.8,44.1,43.9,37.7
2500,54.4,52.8,52.7,50.7,49.8,47.6,44.3,43.7,44.2,41.2,42.9,44.1,46.2,45.7,43.9,42.3,41.6,41.4,35.3
3150,51,49.5,49.3,47.2,46.3,44.3,41.4,41,41.5,38.8,40.5,41.7,43.8,43.3,41.4,39.9,39,38.9,32.9
4000,47.3,46,45.8,43.6,42.7,41,38.5,38.3,38.7,36.3,38,39.2,41.2,40.8,38.8,37.3,36.4,36.4,30.4
5000,43.5,42.5,42.1,39.9,39.1,37.6,35.5,35.6,36,33.9,35.5,36.7,38.6,38.2,36.1,34.7,33.8,33.8,27.8
6300,39.6,38.9,38.4,36.2,35.4,34.2,32.6,32.9,33.2,31.3,32.9,34,35.9,35.4,33.4,32,31,31,25.1
8000,35.6,35.2,34.6,32.5,31.9,30.9,29.7,30.2,30.4,28.7,30.2,31.3,33,32.6,30.5,29.2,28.2,28.2,22.3
10000,31.5,31.4,30.9,28.9,28.3,27.6,26.7,27.4,27.5,26,27.5,28.4,30,29.6,27.6,26.3,25.3,25.2,19.5
12500,27.4,27.5,27.1,25.4,24.9,24.3,23.6,24.5,24.5,23.1,24.6,25.4,26.8,26.5,24.5,23.3,22.3,22.1,16.5
16000,23.3,23.6,23.4,21.9,21.4,21,20.4,21.4,21.4,20.2,21.5,22.3,23.4,23.1,21.3,20.2,19.2,18.8,13.3
20000,19.2,19.6,19.6,18.3,17.8,17.5,17,18.2,18.1,17,18.2,19,19.8,19.6,17.9,17,16,15.4,10.1
25000,15.1,15.5,15.7,14.6,14.1,13.9,13.4,14.7,14.5,13.6,14.8,15.4,16,15.8,14.4,13.6,12.7,11.8,6.7
