F-5,J85-GE-21,Engine runup (80% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,87.1,86.7,86.4,85.5,83.8,82.6,80.6,81.7,81.9,81.6,78.6,80.9,82.1,84.3,84.7,84.9,80.7,58.5,38.5
250,84.9,84.4,84.1,83.2,81.6,80.3,78.5,79.5,79.7,79.5,76.6,78.8,80.1,82.2,82.6,82.9,78.7,56.4,36.4
315,82.5,82.1,81.8,80.9,79.3,78,76.3,77.3,77.6,77.3,74.5,76.7,78,80.2,80.5,80.8,76.6,54.3,34.3
400,80.1,79.7,79.4,78.6,77,75.7,74.1,75.1,75.4,75.1,72.4,74.6,75.9,78,78.4,78.8,74.6,52.3,32.3
500,77.7,77.2,77,76.2,74.6,73.3,71.9,72.8,73.1,72.9,70.3,72.4,73.8,75.9,76.3,76.7,72.5,50.2,30.2
630,75.2,74.7,74.5,73.8,72.2,70.9,69.7,70.5,70.9,70.6,68.2,70.2,71.7,73.8,74.2,74.6,70.4,48.1,28.1
800,72.6,72.1,72,71.3,69.8,68.5,67.4,68.2,68.6,68.3,66,68,69.6,71.6,72,72.5,68.3,45.9,25.9
1000,69.9,69.4,69.4,68.8,67.3,66,65.1,65.8,66.2,66,63.8,65.8,67.4,69.4,69.8,70.3,66.1,43.8,23.8
1250,67.1,66.7,66.7,66.2,64.8,63.5,62.8,63.3,63.9,63.6,61.6,63.6,65.2,67.1,67.6,68.2,64,41.6,21.6
1600,64.3,63.9,64,63.6,62.3,60.9,60.4,60.9,61.5,61.2,59.3,61.3,63,64.8,65.3,66,61.8,39.4,19.4
2000,61.4,61.1,61.3,61,59.8,58.4,58,58.4,59,58.7,57.1,58.9,60.7,62.5,62.9,63.7,59.5,37.1,17.1
2500,58.4,58.2,58.5,58.3,57.2,55.8,55.6,55.8,56.6,56.2,54.7,56.5,58.4,60,60.6,61.5,57.3,34.8,14.8
3150,55.4,55.3,55.7,55.6,54.6,53.2,53.1,53.2,54,53.6,52.3,54.1,56,57.6,58.1,59.1,54.9,32.5,12.5
4000,52.2,52.4,52.8,52.9,51.9,50.5,50.5,50.6,51.4,50.9,49.9,51.6,53.5,55,55.5,56.7,52.5,30.1,10.1
5000,49.1,49.4,49.9,50.1,49.2,47.9,47.9,47.9,48.7,48.2,47.3,49,50.9,52.4,52.9,54.3,50.1,27.7,7.7
6300,45.9,46.3,46.9,47.2,46.4,45.1,45.2,45.1,46,45.4,44.7,46.4,48.3,49.7,50.1,51.7,47.5,25.2,5.2
8000,42.7,43.2,43.9,44.3,43.5,42.3,42.3,42.2,43.1,42.6,42,43.6,45.5,46.9,47.3,49.1,44.9,22.6,2.6
10000,39.4,40.1,40.8,41.2,40.5,39.4,39.4,39.2,40.1,39.6,39.1,40.7,42.6,43.9,44.3,46.4,42.1,19.9,-0.1
12500,36,36.7,37.5,38,37.3,36.3,36.2,36,36.9,36.4,36.1,37.6,39.5,40.8,41.2,43.5,39.3,17.2,-2.8
16000,32.4,33.2,34,34.6,33.8,33,32.9,32.7,33.6,33.1,32.9,34.3,36.2,37.5,37.9,40.4,36.2,14.3,-5.7
20000,28.7,29.5,30.3,30.9,30.2,29.5,29.3,29.1,30,29.6,29.5,30.9,32.6,33.9,34.5,37.2,33,11.3,-8.7
25000,24.8,25.5,26.4,27,26.2,25.7,25.4,25.3,26.2,25.8,25.8,27.1,28.8,30.1,30.8,33.8,29.5,8.2,-11.8
