F-8,J57-P-20,Maximum power A/B (100% RPM),,,,,,,,,,,,,,,,,
200,104.5,105.2,105,108.1,110.9,113.9,111.4,117,118.9,122.1,125.2,128.9,132.1,132.1,127.8,124,104.1,94.1,84.1
250,102.4,103.1,102.9,106,108.7,111.8,109.3,114.8,116.7,119.9,123.1,126.8,130,130,125.7,122,102,92,82
315,100.3,100.9,100.8,103.8,106.6,109.6,107.2,112.6,114.5,117.8,120.9,124.6,127.8,127.9,123.6,119.9,99.9,89.9,79.9
400,98.1,98.7,98.6,101.7,104.4,107.4,105,110.4,112.3,115.5,118.7,122.4,125.7,125.8,121.5,117.8,97.7,87.7,77.7
500,95.9,96.5,96.4,99.5,102.2,105.1,102.8,108.2,110,113.2,116.5,120.2,123.5,123.6,119.4,115.7,95.6,85.6,75.6
630,93.7,94.2,94.2,97.3,100,102.9,100.5,105.8,107.7,110.9,114.2,118,121.3,121.4,117.2,113.5,93.4,83.4,73.4
800,91.4,91.9,91.9,95.1,97.7,100.5,98.2,103.5,105.3,108.5,111.9,115.7,119,119.2,115,111.3,91.1,81.1,71.1
1000,89.1,89.5,89.6,92.8,95.3,98.1,95.9,101,102.9,106.1,109.5,113.3,116.7,116.9,112.8,109.1,88.8,78.8,68.8
1250,86.8,87.1,87.2,90.4,92.9,95.6,93.5,98.5,100.3,103.6,107,110.9,114.4,114.6,110.6,106.9,86.5,76.5,66.5
1600,84.3,84.6,84.8,88,90.5,93.1,91,95.9,97.7,100.9,104.5,108.4,112,112.2,108.2,104.6,84,74,64
2000,81.9,82,82.2,85.6,87.9,90.4,88.5,93.3,95,98.2,101.8,105.8,109.5,109.7,105.9,102.2,81.5,71.5,61.5
2500,79.3,79.3,79.7,83,85.3,87.7,85.9,90.5,92.2,95.4,99.1,103.2,106.9,107.2,103.4,99.8,79,69,59
3150,76.7,76.6,77,80.4,82.5,84.8,83.2,87.6,89.3,92.5,96.2,100.4,104.3,104.6,100.9,97.3,76.3,66.3,56.3
4000,74,73.9,74.3,77.6,79.7,81.9,80.3,84.6,86.3,89.5,93.3,97.5,101.5,101.9,98.3,94.7,73.5,63.5,53.5
5000,71.2,71,71.4,74.7,76.7,78.8,77.4,81.5,83.1,86.3,90.1,94.5,98.7,99.1,95.6,92,70.6,60.6,50.6
6300,68.3,68.1,68.5,71.7,73.5,75.6,74.3,78.2,79.8,82.9,86.8,91.4,95.7,96.1,92.8,89.1,67.6,57.6,47.6
8000,65.2,65,65.4,68.5,70.2,72.2,71.1,74.7,76.3,79.4,83.3,88,92.5,93,89.8,86.1,64.5,54.5,44.5
10000,62,61.8,62.1,65.1,66.7,68.6,67.6,71,72.7,75.7,79.5,84.5,89.2,89.7,86.6,83,61.2,51.2,41.2
12500,58.5,58.4,58.6,61.5,63,64.8,64,67.2,68.8,71.8,75.5,80.8,85.8,86.2,83.3,79.6,57.9,47.9,37.9
16000,54.8,54.7,55,57.6,59,60.8,60.1,63.1,64.7,67.7,71.3,76.8,82.1,82.5,79.7,76,54.4,44.4,34.4
20000,50.9,50.7,51.2,53.5,54.9,56.6,56,58.8,60.4,63.2,66.8,72.5,78.1,78.5,75.9,72.2,50.9,40.9,30.9
25000,46.6,46.5,47.1,49.2,50.4,52.1,51.6,54.2,55.8,58.5,62,67.9,74,74.3,71.9,68.1,47.2,37.2,27.2
25000,18.1,18.9,20.1,20,19.2,18.7,21.1,20.5,21.5,21.5,23.7,24.6,26.5,25.3,22.5,19.3,10,4.9,10.5
