F-8,J57-P-20,Engine runup (70% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,91.3,91.9,91.2,88.8,89.3,90.5,89,87.4,87.6,85.4,88.5,86.4,90,86.3,83.1,77.3,70.6,64,61.1
250,89,89.6,88.9,86.5,87.1,88.2,86.8,85.2,85.3,83.2,86.3,84.2,87.8,84.1,80.9,75.1,68.4,61.8,59
315,86.7,87.3,86.6,84.2,84.7,85.9,84.5,82.9,83.1,81,84,82,85.6,81.8,78.7,72.9,66.2,59.6,56.8
400,84.3,84.8,84.2,81.8,82.4,83.5,82.2,80.7,80.8,78.8,81.7,79.7,83.3,79.5,76.4,70.6,63.9,57.4,54.5
500,81.8,82.3,81.7,79.3,79.9,81.1,79.8,78.3,78.5,76.5,79.2,77.4,80.9,77.2,74.1,68.4,61.6,55.1,52.2
630,79.2,79.7,79.1,76.8,77.4,78.5,77.3,75.9,76.1,74.2,76.8,75.1,78.6,74.9,71.8,66.1,59.3,52.8,50
800,76.5,76.9,76.4,74.1,74.7,75.8,74.8,73.5,73.6,71.8,74.2,72.7,76.1,72.5,69.5,63.7,57,50.5,47.6
1000,73.7,74,73.5,71.3,72,73.1,72.2,70.9,71.1,69.4,71.7,70.3,73.6,70,67.1,61.4,54.6,48.2,45.3
1250,70.8,71,70.5,68.4,69.1,70.2,69.4,68.4,68.6,67,69.1,67.9,71.1,67.6,64.7,59,52.2,45.8,42.9
1600,67.7,67.8,67.4,65.4,66.2,67.2,66.6,65.8,66,64.6,66.4,65.4,68.6,65.1,62.3,56.5,49.8,43.5,40.6
2000,64.4,64.4,64.1,62.3,63.1,64.1,63.8,63.1,63.4,62.1,63.8,62.9,66,62.6,59.9,54.1,47.4,41.1,38.2
2500,61.1,61,60.6,59.2,60,60.9,60.8,60.5,60.8,59.6,61.2,60.3,63.3,60.1,57.5,51.5,45,38.7,35.8
3150,57.6,57.4,57.1,56,56.8,57.7,57.9,57.8,58.1,57,58.5,57.7,60.6,57.5,55,48.9,42.6,36.3,33.4
4000,53.9,53.7,53.5,52.7,53.6,54.4,54.9,55,55.3,54.3,55.8,55,57.8,54.8,52.4,46.3,40.2,33.9,31
5000,50.1,50,49.8,49.4,50.4,51,51.9,52.1,52.5,51.5,53,52.1,54.8,52.1,49.8,43.6,37.7,31.5,28.6
6300,46,46.3,46.1,46,47.1,47.6,48.8,49.2,49.5,48.5,50.1,49.2,51.8,49.3,47.1,40.8,35.3,29,26
8000,41.9,42.4,42.4,42.6,43.8,44.1,45.6,46,46.3,45.4,47,46.1,48.5,46.3,44.2,38,32.8,26.5,23.5
10000,37.5,38.5,38.7,38.9,40.2,40.4,42.3,42.7,42.9,42,43.7,42.8,45.1,43.2,41.3,35.2,30.2,23.8,20.8
12500,33.1,34.4,34.7,35.1,36.4,36.6,38.8,39.2,39.3,38.5,40.2,39.3,41.5,40,38.2,32.3,27.6,21.2,18.1
16000,28.7,30.2,30.6,31.1,32.4,32.6,35.1,35.5,35.5,34.7,36.5,35.7,37.7,36.5,35,29.4,24.9,18.4,15.3
20000,24.2,25.8,26.3,26.7,28,28.4,31.2,31.5,31.4,30.6,32.5,31.8,33.7,32.9,31.7,26.4,22.1,15.5,12.4
25000,19.8,21.2,21.8,22.1,23.3,24,27.1,27.3,27,26.4,28.3,27.7,29.5,29.1,28.1,23.3,19.2,12.5,9.4
