F-16A,F100-PW-100,Maximum power zone 5 A/B (89% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,106.8,109.5,112.1,111.8,111.8,112.1,112.3,114.6,116.9,118.3,122.6,126.8,131.4,129.3,125.5,121.1,113.6,103.6,93.6
250,104.7,107.4,110,109.7,109.7,110,110.2,112.5,114.7,116.2,120.5,124.7,129.3,127.2,123.4,119,111.5,101.5,91.5
315,102.6,105.3,107.9,107.6,107.6,107.8,108,110.4,112.6,114,118.3,122.6,127.1,125.1,121.3,116.9,109.4,99.4,89.4
400,100.5,103.2,105.7,105.5,105.4,105.7,105.9,108.2,110.4,111.7,116.2,120.4,124.9,122.9,119.2,114.9,107.3,97.3,87.3
500,98.4,101,103.6,103.3,103.3,103.5,103.7,106,108.1,109.5,113.9,118.2,122.7,120.7,117,112.7,105.2,95.2,85.2
630,96.2,98.9,101.4,101.1,101,101.3,101.4,103.7,105.9,107.2,111.7,115.9,120.5,118.5,114.9,110.6,103,93,83
800,94,96.7,99.1,98.9,98.8,99,99.1,101.4,103.6,104.8,109.4,113.7,118.2,116.3,112.7,108.5,100.8,90.8,80.8
1000,91.7,94.4,96.9,96.6,96.5,96.7,96.8,99,101.2,102.4,107,111.4,115.9,114,110.5,106.3,98.6,88.6,78.6
1250,89.5,92.1,94.5,94.3,94.1,94.3,94.3,96.6,98.7,99.9,104.6,109,113.6,111.7,108.2,104.1,96.3,86.3,76.3
1600,87.1,89.7,92.1,91.8,91.7,91.8,91.8,94.1,96.2,97.3,102.1,106.6,111.2,109.3,105.9,101.8,94,84,74
2000,84.7,87.3,89.6,89.3,89.2,89.3,89.3,91.6,93.7,94.7,99.6,104.1,108.7,106.9,103.6,99.5,91.6,81.6,71.6
2500,82.2,84.8,87,86.7,86.6,86.6,86.6,88.9,91,92,96.9,101.6,106.2,104.5,101.2,97.2,89.2,79.2,69.2
3150,79.6,82.2,84.3,84,83.9,83.9,83.9,86.2,88.2,89.2,94.2,99,103.6,101.9,98.7,94.7,86.7,76.7,66.7
4000,76.9,79.4,81.5,81.2,81.1,81.1,81,83.3,85.3,86.3,91.4,96.2,100.9,99.3,96.2,92.2,84.2,74.2,64.2
5000,74,76.6,78.5,78.2,78.2,78.1,78,80.3,82.3,83.3,88.4,93.4,98.1,96.6,93.6,89.7,81.5,71.5,61.5
6300,71.1,73.6,75.4,75,75.1,75,74.9,77.2,79.1,80.2,85.3,90.4,95.2,93.8,90.8,87,78.8,68.8,58.8
8000,68,70.4,72.1,71.7,71.8,71.7,71.7,73.9,75.8,76.9,82,87.3,92.1,90.9,87.9,84.2,76,66,56
10000,64.7,67,68.6,68.1,68.4,68.2,68.3,70.5,72.2,73.5,78.5,84,88.9,87.8,84.9,81.2,73.1,63.1,53.1
12500,61.3,63.4,64.9,64.4,64.7,64.6,64.7,66.9,68.5,69.9,74.8,80.6,85.5,84.6,81.7,78.1,70,60,50
16000,57.7,59.7,61,60.4,60.9,60.8,61,63.1,64.6,66.1,70.9,76.9,81.9,81.2,78.4,74.8,66.8,56.8,46.8
20000,53.9,55.7,56.9,56.3,56.8,56.7,57.1,59.1,60.5,62.1,66.7,72.9,78.1,77.6,74.8,71.3,63.4,53.4,43.4
25000,50,51.5,52.6,51.9,52.5,52.5,53,54.9,56.1,57.8,62.3,68.7,74.1,73.8,71,67.5,59.8,49.8,39.8
