A-3,J57-P-10,Intermediate (88% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
(ft),A-G,G-G,A-G,G-G,A-G,G-G,A-G,G-G
200,115.1,115.1,119.6,119.7,113.4,113.4,126.8,126.9
250,113.6,113.6,117.9,118,111.3,111.3,124.6,124.7
315,112,111,116.2,115.7,109.1,108.1,122.3,121.8
400,110.3,108.6,114.5,113.2,106.9,105.1,120,118.7
500,108.7,106.1,112.7,110.7,104.6,102.1,117.5,115.5
630,107,103.6,110.7,108,102.3,99,115,112.3
800,105.2,101.2,108.7,105.2,99.9,95.9,112.4,108.9
1000,103.4,98.7,106.6,102.3,97.5,92.8,109.6,105.4
1250,101.5,96.2,104.3,99.3,95,89.8,106.7,101.7
1600,99.5,94.1,101.8,96.6,92.4,87,103.7,98.4
2000,97.4,91.9,99.3,93.8,89.7,84.2,100.5,95.1
2500,95.2,89.7,96.8,91.1,86.9,81.4,97.5,91.8
3150,92.9,87.5,94.3,88.4,84,78.6,94.4,88.5
4000,90.4,85.3,91.5,85.5,81,75.9,91,85
5000,87.8,82.9,88.5,82.2,77.8,72.8,87.5,81.2
6300,85.1,80.2,85.4,78.8,74.4,69.5,83.9,77.3
8000,82.2,77.1,82.2,75,70.9,65.9,80.1,72.9
10000,79.1,73.7,78.9,71.4,67.2,61.8,76.3,68.8
12500,75.8,69.3,75.5,67,63.3,56.8,72.3,63.8
16000,72.2,64.3,71.8,61.7,59.1,51.2,68,57.9
20000,68.4,58.9,67.7,56.1,54.8,45.3,63.3,51.7
25000,64.4,53.2,63.4,49.4,50.2,38.9,58.4,44.4
