A-4C,J52-P-8B,Cruise (83% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,104.3,104.3,109.1,109.1,104,104,118.5,118.4
250,102.6,102.6,107.2,107.2,101.6,101.6,116,116
315,100.8,100.4,105.3,104.4,99.2,98.9,113.4,112.5
400,98.9,98.2,103.2,101.6,96.7,96.1,110.7,109.1
500,96.9,95.6,100.9,98.9,94.2,92.9,107.9,105.9
630,94.8,92.9,98.5,96,91.5,89.6,104.8,102.4
800,92.6,90.1,95.9,92.9,88.7,86.1,101.7,98.7
1000,90.3,87.1,93.2,89.6,85.8,82.6,98.4,94.8
1250,87.9,84.1,90.4,86.1,82.8,78.9,95,90.7
1600,85.4,81.4,87.4,82.9,79.7,75.6,91.4,86.9
2000,82.7,78.6,84.3,79.7,76.4,72.3,87.7,83.1
2500,79.9,75.8,80.9,76.4,73,68.9,83.7,79.2
3150,77,73.1,77.2,72.9,69.5,65.5,79.4,75.1
4000,73.9,70.3,73.2,69.2,65.7,62.1,74.8,70.9
5000,70.6,67.1,69.5,65,61.9,58.3,70.6,66.1
6300,67.1,63.6,65.5,60.5,57.8,54.3,66.1,61.1
8000,63.5,59.6,61.3,55.5,53.5,49.7,61.3,55.5
10000,59.6,55.2,56.8,50.5,49,44.6,56.3,50
12500,55.4,49.7,52.5,43.9,44.3,38.6,51.4,42.8
16000,51,43.7,47.3,35.9,39.3,31.9,45.6,34.2
20000,46.5,37.1,41.8,25.5,34.1,24.8,39.5,23.2
25000,41.7,30.2,35.2,15.1,28.8,17.3,32.3,12.2
