A-7E ,TF41-A-2,Approach (82% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,107.1,107.1,112.2,112.3,105.6,105.6,120.2,120.4
250,105.5,105.5,110.4,110.6,103.4,103.4,117.9,118.1
315,103.9,102.9,108.7,107.9,101.1,100.1,115.5,114.8
400,102.2,100.4,106.8,105.4,98.8,97,113.1,111.7
500,100.5,97.9,104.8,102.9,96.5,94,110.5,108.6
630,98.7,95.4,102.8,100.3,94.1,90.8,107.9,105.3
800,96.8,92.9,100.8,97.5,91.6,87.7,105.3,102
1000,94.9,90.3,98.6,94.6,89.1,84.5,102.5,98.4
1250,92.9,87.7,96.3,91.5,86.6,81.3,99.5,94.7
1600,90.9,85.4,93.7,88.7,83.9,78.4,96.4,91.4
2000,88.8,83.1,91,85.9,81.2,75.5,93.1,87.9
2500,86.6,80.8,88.1,82.9,78.4,72.6,89.6,84.3
3150,84.3,78.6,85.5,79.7,75.6,69.8,86.4,80.6
4000,82,76.4,82.7,76.6,72.6,67.1,83,76.9
5000,79.5,74,79.6,73,69.6,64.1,79.5,72.9
6300,76.9,71.5,76.6,69.5,66.3,60.9,75.9,68.8
8000,74.2,68.7,73.3,65.9,63,57.5,72.1,64.7
10000,71.2,65.4,69.9,62.4,59.4,53.7,68.2,60.7
12500,68,61.3,66.4,57.8,55.6,48.9,64.1,55.5
16000,64.6,56.7,62.5,52.7,51.6,43.7,59.6,49.8
20000,60.9,51.6,58.4,46.4,47.3,38,54.9,42.9
25000,57,46.2,53.9,39.1,42.8,32.1,49.8,35
