A-7E ,TF41-A-2,Cruise (85% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,104,104,108.8,108.8,101.3,101.3,115.8,115.8
250,102.4,102.4,107.2,107.2,99.1,99.1,113.6,113.6
315,100.8,100.2,105.5,105,96.8,96.3,111.3,110.8
400,99,98.1,103.7,102.6,94.5,93.6,108.9,107.8
500,97.2,95.7,101.8,100.1,92.1,90.5,106.4,104.7
630,95.4,93.1,99.8,97.4,89.6,87.4,103.8,101.4
800,93.4,90.5,97.7,94.6,87.1,84.1,101.1,98
1000,91.4,87.8,95.4,91.6,84.5,80.8,98.2,94.4
1250,89.4,85,93,88.4,81.8,77.4,95.2,90.6
1600,87.2,82.6,90.4,85.6,79,74.4,92,87.2
2000,84.9,80.2,87.6,82.7,76.1,71.4,88.5,83.7
2500,82.5,77.8,84.5,79.6,73.2,68.4,84.9,80
3150,80.1,75.5,81.2,76.5,70.1,65.5,80.9,76.3
4000,77.5,73.2,77.8,73.5,66.9,62.6,77.1,72.8
5000,74.8,70.6,74.7,70.1,63.7,59.4,73.5,68.9
6300,72,67.8,71.5,66.3,60.3,56,69.8,64.7
8000,69.1,64.6,68.2,62,56.8,52.2,66,59.9
10000,66.1,61,64.6,57.1,53.1,48,61.9,54.5
12500,62.8,56.5,61,52.1,49.3,42.9,57.8,48.9
16000,59.4,51.5,57.1,45.3,45.2,37.3,53.3,41.5
20000,55.7,46.2,52.8,37.2,40.9,31.4,48.3,32.8
25000,51.7,40.6,47.8,27.3,36.3,25.2,42.8,22.3
