AV-8B,F402-RR-405,Flight Idle (40% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,107.2,107.2,112.7,112.7,104.9,104.9,119.2,119.2
250,105.5,105.5,111,111,102.6,102.6,116.9,116.9
315,103.7,103.2,109.2,108.6,100.3,99.8,114.5,113.9
400,101.9,100.7,107.4,105.8,97.9,96.7,112.1,110.5
500,100,98.3,105.4,103.3,95.4,93.7,109.5,107.4
630,98,95.7,103.4,100.6,92.8,90.5,106.8,104
800,95.9,93.2,101.1,98.1,90.1,87.3,104,101
1000,93.7,90.4,98.7,95.1,87.3,84,101,97.4
1250,91.4,87.5,96.1,92,84.3,80.5,97.7,93.7
1600,89,84.9,93.2,89,81.3,77.3,94.3,90
2000,86.5,82.2,90,85.7,78.2,74,90.5,86.1
2500,83.9,79.6,86.6,82.1,75.1,70.7,86.5,82
3150,81.3,77,82.8,78.3,71.9,67.6,82.1,77.6
4000,78.6,74.7,79.1,74.9,68.6,64.6,77.9,73.7
5000,75.8,72.1,75.9,71.6,65.2,61.4,74.2,69.9
6300,72.9,69.4,72.5,67.8,61.7,58.1,70.3,65.6
8000,69.8,66.3,69,63.8,58,54.4,66.3,61
10000,66.5,62.7,65.2,59.2,54.1,50.3,62,56
12500,62.9,58.2,61.3,54.1,49.9,45.1,57.5,50.3
16000,59.1,53.1,57.1,47.7,45.5,39.4,52.7,43.2
20000,54.9,47.6,52.3,40.6,40.7,33.3,47.3,35.6
25000,50.5,41.6,46.5,32.7,35.6,26.8,40.9,27.1
