AV-8B,F402-RR-408,Takeoff (110% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,126.4,126.4,15.1,15.8,123.1,123.1,137,137.6
250,124.6,124.6,13.4,14,120.8,120.8,134.6,135.3
315,122.8,122.4,11.5,11.2,118.4,118,132.2,131.9
400,120.9,120,9.5,8.5,115.9,115,129.6,128.6
500,118.9,117.5,7.4,6,113.3,111.9,126.9,125.4
630,116.8,114.8,5.2,3.2,110.6,108.6,124.1,122.1
800,114.6,112,2.8,0.3,107.7,105.2,121.1,118.5
1000,112.1,108.9,0,-3.1,104.7,101.5,117.7,114.6
1250,109.6,105.8,-2.9,-6.7,101.6,97.7,114.1,110.4
1600,107.1,103,-6,-10,98.4,94.4,110.5,106.5
2000,104.4,100.3,-9.3,-13.4,95.2,91,106.6,102.4
2500,101.7,97.5,-12.6,-16.8,91.9,87.7,102.6,98.4
3150,98.9,94.8,-16.2,-20.2,88.4,84.4,98.5,94.5
4000,95.9,92.1,-20,-23.8,84.8,81.1,94.2,90.4
5000,92.8,89.1,-23.4,-27.7,81.1,77.4,90.3,86
6300,89.5,85.7,-26.7,-32,77.3,73.5,86.5,81.2
8000,86.1,81.8,-30.2,-36.7,73.2,69,82.5,76.1
10000,82.5,77.4,-33.8,-41.7,69.1,64,78.5,70.6
12500,78.8,72,-37.5,-46.8,64.8,58,74.2,64.9
16000,74.9,66.1,-41.5,-52.7,60.3,51.5,69.6,58.3
20000,70.9,59.9,-45.8,-59.4,55.6,44.6,64.7,51
25000,66.6,53.4,-50.5,-66.9,50.8,37.6,59.4,43
