C-12,PT6A-38,Takeoff (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,89.5,89.5,93.2,93.3,87.6,87.6,104.1,104.1
250,88.1,88.1,91.7,91.8,85.6,85.6,102,102
315,86.6,83.6,90.2,88.9,83.5,80.5,99.8,98.6
400,85.2,79.5,88.7,85.7,81.5,75.8,97.7,94.7
500,83.7,77.2,87.1,83.8,79.4,72.9,95.5,92.2
630,82.3,75.1,85.5,81.9,77.4,70.1,93.4,89.7
800,80.8,73.2,83.9,80,75.3,67.7,91.2,87.3
1000,79.3,71.6,82.3,78.2,73.2,65.5,88.9,84.9
1250,77.8,70,80.6,76.4,71.1,63.3,86.7,82.4
1600,76.2,68.3,79,74.4,68.9,61,84.4,79.8
2000,74.6,66.5,77,71.9,66.7,58.5,81.9,76.7
2500,73,64.3,75,69,64.5,55.8,79.2,73.3
3150,71.3,61.8,72.8,65.7,62.2,52.7,76.5,69.4
4000,69.6,59,70.1,61.5,59.9,49.3,73.1,64.5
5000,67.7,56.1,67.2,56.9,57.4,45.8,69.7,59.4
6300,65.8,53.5,64.3,52.7,54.9,42.6,66.1,54.5
8000,63.8,51.7,61.2,49.3,52.3,40.2,62.4,50.5
10000,61.6,49.7,58.1,45.8,49.5,37.6,58.7,46.4
12500,59.3,47.6,55.3,42.3,46.6,34.9,55.3,42.3
16000,56.8,45.3,52.3,38.3,43.5,32,51.7,37.7
20000,54.1,43,49,33.3,40.2,29,47.8,32.1
25000,51.2,40.5,45.2,28.8,36.7,26,43.4,27
