C-130E,T56-A-7,Takeoff (970 C TIT),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,102.1,102.1,108.2,108.2,99.3,99.3,113.5,113.5
250,100.6,100.6,106.7,106.7,97.1,97.1,111.4,111.4
315,99,97.6,105.1,104,95,93.6,109.2,108.1
400,97.5,94.7,103.5,101.1,92.8,90.1,107,104.5
500,95.9,92.4,101.9,99.1,90.6,87.1,104.8,102
630,94.2,90.1,100.2,97.1,88.3,84.2,102.5,99.4
800,92.5,87.9,98.5,95.2,86,81.4,100.1,96.8
1000,90.8,85.8,96.7,93.3,83.7,78.7,97.7,94.4
1250,89,83.7,94.8,91.4,81.3,76.1,95.3,91.9
1600,87.1,81.9,92.9,89.7,78.8,73.6,92.7,89.6
2000,85.2,80,90.9,87.9,76.3,71.2,90.1,87.2
2500,83.2,78.2,88.8,86.1,73.7,68.7,87.5,84.8
3150,81.1,76.3,86.4,84,71,66.2,84.5,82.1
4000,78.9,74.2,83.9,81.2,68.3,63.6,81.4,78.6
5000,76.6,71.8,81.3,77.7,65.4,60.5,78.2,74.6
6300,74.2,69.3,78.7,74.2,62.4,57.4,75,70.5
8000,71.7,66.8,75.9,71.5,59.2,54.4,71.6,67.2
10000,69.1,64.2,73.1,68.7,56,51.2,68.2,63.7
12500,66.4,61.3,70.1,65.4,52.7,47.6,64.6,59.8
16000,63.6,58.5,67,61.9,49.3,44.3,60.9,55.8
20000,60.8,56,63.7,58.1,45.9,41.2,57,51.4
25000,58,53.7,60.1,54.4,42.5,38.3,52.8,47.1
