C-131B,R-2800-103W,Cruise (2000 RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,97.3,97.3,101.1,101,92.1,92.1,105.9,105.8
250,95.9,95.9,99.5,99.4,90,90,103.8,103.7
315,94.4,92.7,98,96.5,87.9,86.3,101.6,100.2
400,92.8,89.8,96.4,93.7,85.8,82.8,99.4,96.8
500,91.3,87.3,94.7,91.2,83.7,79.7,97.2,93.6
630,89.7,84.8,93,88.5,81.5,76.6,94.9,90.4
800,88.1,82.4,91.3,85.8,79.3,73.6,92.6,87
1000,86.4,80,89.5,83,77,70.6,90.2,83.7
1250,84.7,77.7,87.7,80.2,74.7,67.7,87.7,80.2
1600,82.9,75.6,85.8,77.6,72.3,65,85.2,77.1
2000,81.1,73.5,83.7,75.1,69.9,62.3,82.5,74
2500,79.2,71.5,81.5,72.5,67.4,59.7,79.8,70.8
3150,77.3,69.4,79.3,69.9,64.8,57,77,67.6
4000,75.2,67.4,76.7,67.1,62.2,54.4,73.9,64.3
5000,73.1,65.1,74.1,63.9,59.5,51.5,70.7,60.6
6300,70.8,62.8,71.3,60.7,56.6,48.5,67.5,56.9
8000,68.5,60.1,68.3,56.9,53.7,45.2,63.9,52.6
10000,66.1,57,65.1,52.9,50.6,41.6,60.3,48.1
12500,63.5,53.3,62.1,48.1,47.5,37.3,56.7,42.7
16000,60.8,49.2,58.8,42,44.1,32.6,52.8,36
20000,57.9,45.1,55.2,34.8,40.7,27.9,48.5,28.2
25000,54.8,41.2,50.9,22.6,37,23.4,43.7,15.4
