C-131B,R-2800-103W,Approach (2400 RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,96.2,96.2,101.3,101.6,91.4,91.4,106.2,106.4
250,94.7,94.7,99.8,100.1,89.3,89.3,104,104.3
315,93.2,91.4,98.2,97.2,87.2,85.4,101.9,100.8
400,91.7,88.5,96.6,94,85.1,81.8,99.7,97
500,90.2,86,95,91.6,82.9,78.8,97.4,94
630,88.6,83.5,93.3,89.3,80.8,75.7,95.2,91.1
800,87,81.1,91.6,87,78.6,72.7,92.8,88.2
1000,85.4,78.8,89.9,84.4,76.3,69.8,90.5,85.1
1250,83.7,76.5,88,81.8,74.1,66.9,88,81.8
1600,81.9,74.4,86,78.9,71.7,64.2,85.4,78.3
2000,80.2,72.3,83.9,76.2,69.4,61.5,82.8,75.1
2500,78.3,70.1,81.8,73.2,66.9,58.7,80,71.4
3150,76.4,68,79.6,70.3,64.4,56,77.2,67.9
4000,74.5,65.9,76.9,67.2,61.9,53.3,74,64.3
5000,72.4,63.6,74.2,63.9,59.2,50.4,70.7,60.5
6300,70.3,61.3,71.3,60.5,56.5,47.5,67.3,56.5
8000,68.1,58.7,68.2,56.5,53.7,44.3,63.7,51.9
10000,65.8,55.8,65,52.5,50.8,40.8,59.9,47.4
12500,63.3,52.3,61.9,48,47.7,36.7,56.2,42.3
16000,60.8,48.8,58.6,42,44.5,32.5,52.3,35.7
20000,58,45.3,55.1,34.5,41.2,28.5,48.2,27.5
25000,55,42.2,50.8,27.5,37.6,24.8,43.3,20
