C-131B,R-2800-103W,Takeoff (2800 RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,110.2,110.2,115.4,115.7,106.4,106.4,121.9,122.2
250,108.7,108.7,113.8,114,104.3,104.3,119.7,119.9
315,107.2,105.7,112.2,111.5,102.1,100.6,117.5,116.8
400,105.6,103,110.6,108.8,100,97.4,115.3,113.5
500,104,100.6,108.9,106.3,97.8,94.3,113,110.5
630,102.4,98.1,107.2,103.7,95.6,91.3,110.7,107.2
800,100.7,95.7,105.4,101,93.3,88.2,108.4,103.9
1000,99,93.2,103.6,98.4,91,85.1,105.9,100.7
1250,97.3,90.7,101.7,95.9,88.6,82,103.4,97.6
1600,95.5,88.4,99.8,93.2,86.2,79.2,100.9,94.3
2000,93.6,86.2,97.8,90.7,83.8,76.4,98.3,91.2
2500,91.7,84,95.7,87.7,81.2,73.5,95.6,87.7
3150,89.7,81.7,93.5,84.7,78.7,70.7,92.8,84
4000,87.7,79.6,91,81.7,76.1,67.9,89.6,80.4
5000,85.6,77.2,88.4,78.5,73.4,65,86.4,76.5
6300,83.4,74.8,85.5,74.9,70.6,61.9,82.9,72.3
8000,81.2,72,82.6,71,67.7,58.6,79.3,67.7
10000,78.8,69,79.5,67.6,64.8,54.9,75.6,63.7
12500,76.3,65.2,76.6,63.9,61.7,50.6,72.1,59.5
16000,73.6,61.2,73.6,59.9,58.4,46,68.5,54.8
20000,70.8,57.2,70.3,55.4,55,41.4,64.6,49.7
25000,67.8,53.3,66.7,50.4,51.3,36.9,60.5,44.1
