C-141A,TF33-P-7,Traffic pattern (68% NF),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,110.5,110.5,117.7,117.8,108.6,108.6,125.6,125.7
250,108.9,108.9,116,116.2,106.3,106.3,123.3,123.5
315,107.2,107.5,114.3,114.4,104,104.4,121,121.1
400,105.4,106.1,112.5,112.5,101.6,102.4,118.6,118.6
500,103.5,103.7,110.6,110,99.2,99.3,116.1,115.5
630,101.5,101.1,108.6,107.4,96.6,96.1,113.5,112.2
800,99.4,98.2,106.5,104.5,93.9,92.6,110.8,108.8
1000,97.2,95.1,104.2,101.4,91.1,89,107.9,105.1
1250,94.8,91.8,101.7,98.1,88,85.1,104.8,101.2
1600,92.1,89.2,99,95.3,84.8,81.9,101.4,97.8
2000,89.2,86.4,95.9,92.3,81.2,78.4,97.8,94.2
2500,86,83.5,92.6,89.1,77.5,74.9,93.9,90.4
3150,82.5,80.4,88.9,85.7,73.4,71.3,89.6,86.4
4000,78.8,77.7,84.1,81.9,69,67.9,84.3,82
5000,74.9,74,78.9,76.7,64.5,63.7,78.5,76.3
6300,71,70.2,73.2,71.9,60,59.2,72.2,70.9
8000,67.4,65.8,67.8,66.7,55.8,54.2,66.2,65.2
10000,63.9,60.9,63.6,60.7,51.8,48.7,61.4,58.6
12500,60.6,55.1,59.5,53,47.9,42.4,56.8,50.3
16000,57.2,49.4,55.2,44.6,43.8,36.1,51.9,41.3
20000,53.6,44,50.2,35.5,39.7,30,46.3,31.6
25000,49.8,38.5,44.5,25.2,35.3,23.9,40,20.7
