C-141A,TF33-P-7,Normal rated thrust (91% NF),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,117.3,117.3,123.5,123.5,113,113,130.6,130.6
250,115.6,115.6,121.8,121.8,110.8,110.8,128.3,128.3
315,113.9,113.4,120.1,119.4,108.5,108,126,125.3
400,112.1,111,118.3,116.6,106.1,104.9,123.5,121.9
500,110.3,108.6,116.4,114.1,103.6,101.9,121,118.8
630,108.3,105.9,114.3,111.4,101,98.7,118.4,115.5
800,106.2,103.5,112.2,109,98.4,95.7,115.6,112.5
1000,104,100.7,109.8,106.1,95.6,92.2,112.7,109
1250,101.7,97.7,107.3,103,92.7,88.6,109.6,105.3
1600,99.3,95,104.6,100.1,89.7,85.3,106.2,101.7
2000,96.8,92.1,101.5,96.8,86.6,81.9,102.6,97.9
2500,94.3,89.3,98.3,93.3,83.5,78.4,98.7,93.7
3150,91.8,86.5,94.6,89.5,80.3,75,94.5,89.4
4000,89.3,83.9,90.8,85.1,77.2,71.8,90.1,84.4
5000,86.7,81.2,87.6,80.6,74.1,68.5,86.3,79.2
6300,84.2,78.4,84.3,76.7,70.9,65.2,82.4,74.7
8000,81.5,75.4,80.9,72.7,67.7,61.6,78.4,70.1
10000,78.8,72.1,77.4,68.6,64.3,57.6,74.2,65.4
12500,75.8,67.9,74,64.2,60.8,52.8,70.2,60.5
16000,72.7,63.3,70.3,59.3,57.1,47.6,65.9,55
20000,69.4,58.4,66.7,54,53.2,42.2,61.7,49
25000,65.9,53.5,62.9,47.6,49,36.7,57.4,42.1
