C-17,F117-PW-100,Flight idle (72% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,101.9,101.9,106.5,106.5,98.9,98.9,112.5,112.5
250,100.2,100.2,104.8,104.8,96.7,96.7,110.2,110.2
315,98.6,98,103.1,102.3,94.4,93.8,107.9,107.1
400,96.9,95.9,101.3,99.7,92.1,91.1,105.4,103.9
500,95.1,93.4,99.3,97.1,89.7,88,102.9,100.7
630,93.2,90.9,97.3,94.4,87.2,84.9,100.3,97.4
800,91.3,88.3,95.1,91.5,84.7,81.7,97.4,93.9
1000,89.3,85.6,92.7,88.5,82.1,78.4,94.5,90.3
1250,87.2,82.9,90.2,85.4,79.4,75.1,91.4,86.6
1600,85,80.5,87.7,82.7,76.6,72.1,88.3,83.3
2000,82.7,78.1,85,79.9,73.7,69.1,85,79.9
2500,80.2,75.7,82,77,70.7,66.1,81.4,76.4
3150,77.7,73.3,78.8,74.1,67.5,63.1,77.6,72.8
4000,75.1,70.9,75.2,70.8,64.3,60.1,73.6,69.3
5000,72.3,68.2,72,67.3,60.9,56.8,70,65.4
6300,69.4,65.3,68.6,63.2,57.4,53.3,66.3,60.9
8000,66.3,61.9,65.1,58.6,53.8,49.3,62.4,56
10000,63.2,58,61.3,53.4,50,44.8,58.3,50.4
12500,59.8,53.2,57.4,47.2,46.1,39.4,53.8,43.6
16000,56.4,47.9,53,40.2,42,33.5,48.8,36
20000,52.7,42.3,48.2,32,37.7,27.4,43.4,27.1
25000,48.9,36.8,42.5,18,33.3,21.2,37,12.6
