C-17,F117-PW-100,Approach (86% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,109,109,114.2,114.8,107,107,121.7,122.4
250,107.3,107.3,112.5,113.1,104.7,104.7,119.4,120.1
315,105.6,105.2,110.7,110.8,102.4,101.9,117.1,117.1
400,103.7,102.7,108.9,108,99.9,98.9,114.6,113.7
500,101.8,100.3,107,105.5,97.4,95.9,112.1,110.6
630,99.7,97.7,104.9,102.8,94.7,92.7,109.4,107.3
800,97.5,95.2,102.7,100.3,91.9,89.5,106.6,104.3
1000,95.3,92.3,100.4,97.4,89,86.1,103.7,100.8
1250,92.8,89.3,97.8,94.3,85.9,82.4,100.5,97
1600,90.2,86.4,94.9,91.3,82.7,79,97.1,93.4
2000,87.5,83.5,91.8,88,79.4,75.5,93.3,89.5
2500,84.7,80.7,88.4,84.4,76.1,72,89.3,85.4
3150,82,77.9,84.7,80.6,72.7,68.7,85,81
4000,79.2,75.4,80.6,77.1,69.4,65.5,80.5,77
5000,76.4,72.6,77,73.5,66,62.2,76.5,73
6300,73.6,69.7,73.6,69.6,62.6,58.7,72.8,68.7
8000,70.7,66.4,70.3,65.1,59.1,54.8,69,63.8
10000,67.7,62.7,66.9,60.3,55.5,50.5,65.2,58.7
12500,64.7,58.1,63.5,54.7,51.9,45.3,61.2,52.4
16000,61.5,53.2,59.9,48.7,48.1,39.8,57,45.8
20000,58.3,48.4,56.1,41.4,44.3,34.3,52.6,37.9
25000,54.9,43.9,51.6,33,40.3,29.3,47.5,28.9
