C-17,F117-PW-100,Derated thrust (92% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,113.2,113.2,120.6,120.6,109.7,109.7,124.9,124.9
250,111.5,111.5,118.9,118.9,107.4,107.4,122.6,122.6
315,109.6,109,117,116,104.9,104.3,120.1,119.2
400,107.7,106.3,115.1,112.8,102.4,101,117.6,115.3
500,105.7,103.8,113,110.3,99.8,97.9,114.9,112.2
630,103.6,101.2,110.8,107.7,97.1,94.7,112.1,109
800,101.4,98.5,108.5,104.9,94.3,91.4,109.2,105.7
1000,99.1,95.6,106,102.1,91.4,87.9,106.1,102.2
1250,96.7,92.6,103.3,98.9,88.4,84.3,102.8,98.5
1600,94.3,89.8,100.3,95.7,85.4,80.9,99.2,94.6
2000,91.9,87.1,97.4,92.3,82.4,77.6,95.7,90.7
2500,89.5,84.4,94.4,89.3,79.4,74.3,92.1,87
3150,87.1,81.9,91.6,86.3,76.4,71.2,88.7,83.4
4000,84.7,79.6,88.6,83,73.4,68.3,85.5,79.9
5000,82.2,77,85.5,79.5,70.3,65.1,82.1,76.1
6300,79.7,74.3,82.3,75.7,67.2,61.8,78.7,72.1
8000,77.2,71.2,79.1,71.5,64.1,58.1,75.2,67.7
10000,74.5,67.7,75.8,66.7,60.8,54,71.7,62.6
12500,71.7,63.4,72.7,62.3,57.4,49.1,68,57.6
16000,68.9,58.9,69.4,57,54,44,64.1,51.8
20000,65.9,54.6,66,51.3,50.4,39.1,60.1,45.4
25000,62.7,50.6,62.2,45.8,46.7,34.5,55.7,39.3
