C-17,F117-PW-100,Intermediate (92% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,111.5,111.5,118.4,118.5,107.9,107.9,123.7,123.8
250,109.8,109.8,116.7,116.7,105.6,105.6,121.4,121.5
315,107.9,107.4,114.8,114,103.1,102.6,119,118.1
400,106,104.8,112.9,110.8,100.6,99.4,116.4,114.3
500,103.9,102.4,110.9,108.4,97.9,96.4,113.8,111.3
630,101.8,99.7,108.7,105.8,95.2,93.1,111,108.1
800,99.5,97,106.3,103,92.3,89.8,108,104.7
1000,97,94.1,103.7,100.1,89.2,86.3,104.9,101.2
1250,94.5,90.9,100.9,96.8,86,82.5,101.4,97.3
1600,91.8,87.9,97.8,93.4,82.8,78.9,97.7,93.3
2000,89.1,84.9,94.4,89.7,79.5,75.3,93.7,89
2500,86.4,81.9,91,86.1,76.2,71.7,89.7,84.8
3150,83.7,79.2,87.8,83.1,72.9,68.4,85.9,81.2
4000,81.1,76.7,84.5,79.7,69.7,65.3,82.3,77.4
5000,78.4,73.9,81.2,76,66.4,61.9,78.6,73.4
6300,75.8,71,77.8,72,63.2,58.4,74.9,69.1
8000,73.2,67.7,74.4,67.5,60,54.5,71.2,64.2
10000,70.5,64,71,62.2,56.7,50.2,67.4,58.7
12500,67.7,59.4,67.8,56.4,53.3,45,63.6,52.2
16000,64.8,54.5,64.3,50.3,49.8,39.5,59.5,45.5
20000,61.8,49.7,60.7,43.5,46.2,34.1,55.3,38.1
25000,58.7,45.2,56.9,35.3,42.5,29,50.9,29.3
