C-17,F117-PW-100,Max rated thrust (95% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,116.1,116.1,121.9,122,113.1,113.1,128.5,128.6
250,114.5,114.5,120.2,120.3,110.8,110.8,126.1,126.3
315,112.8,111.9,118.4,117.8,108.5,107.6,123.8,123.1
400,111,109.3,116.5,115.2,106.2,104.5,121.3,120
500,109.2,106.8,114.7,112.7,103.7,101.4,118.8,116.9
630,107.3,104.3,112.7,110.1,101.3,98.2,116.3,113.7
800,105.4,101.6,110.7,107.4,98.7,95,113.6,110.3
1000,103.4,98.9,108.5,104.5,96.1,91.7,110.8,106.8
1250,101.3,96.1,106.1,101.4,93.5,88.3,107.9,103.2
1600,99.3,93.7,103.6,98.7,90.8,85.2,104.8,99.8
2000,97.2,91.2,101,95.8,88.1,82.2,101.5,96.4
2500,95,88.8,98.3,92.8,85.4,79.2,98.3,92.7
3150,92.8,86.4,96,89.6,82.6,76.2,95.3,89
4000,90.6,84.2,93.3,86.3,79.7,73.4,92.2,85.2
5000,88.3,81.6,90.6,82.7,76.8,70.2,89,81.1
6300,85.9,79,87.8,79.1,73.8,67,85.7,77
8000,83.4,76.1,84.9,75.5,70.8,63.4,82.3,72.9
10000,80.8,72.8,81.9,71.7,67.6,59.6,78.8,68.7
12500,78.1,68.8,78.9,67.7,64.3,54.9,75.3,64
16000,75.2,64.5,75.8,63.1,60.8,50,71.5,58.9
20000,72.2,60.2,72.4,58.5,57.2,45.2,67.5,53.6
25000,69,56.2,68.8,53.5,53.4,40.5,63.3,48
