C-20,SPEYMK511-8,Cruise (3000 lbs.),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,100.2,100.2,107.5,107.6,97,97,112,112
250,98.7,98.7,105.9,106,94.8,94.8,109.7,109.8
315,97.1,95.8,104.2,103.6,92.7,91.3,107.5,106.8
400,95.5,93.2,102.5,101,90.4,88.1,105.1,103.7
500,93.8,90.7,100.7,98.5,88.2,85.1,102.7,100.6
630,92.1,88.2,98.8,95.8,85.9,81.9,100.2,97.2
800,90.3,85.6,96.7,92.9,83.5,78.8,97.5,93.8
1000,88.5,83,94.4,89.9,81,75.6,94.6,90.1
1250,86.6,80.5,92,86.6,78.6,72.4,91.6,86.3
1600,84.7,78.2,89.4,83.8,76,69.6,88.4,82.8
2000,82.6,76,87,80.8,73.4,66.7,85.4,79.2
2500,80.5,73.7,84.6,77.6,70.7,63.9,82.4,75.4
3150,78.3,71.5,82.1,74.3,67.9,61,79.4,71.6
4000,76.1,69.3,79.4,71,65,58.2,76,67.7
5000,73.6,66.8,76.4,67.5,62,55.1,72.5,63.5
6300,71.1,64.1,73.4,64.3,58.8,51.9,68.9,59.7
8000,68.4,61.1,70.1,60.7,55.5,48.3,65,55.6
10000,65.5,57.8,66.7,56.8,52.1,44.4,61,51
12500,62.5,53.7,63.2,51.4,48.4,39.6,56.8,45.1
16000,59.2,49,59.3,44.6,44.5,34.3,52.4,37.6
20000,55.7,44,54.8,37.7,40.5,28.7,47.3,30.1
25000,52,38.9,49.7,26.3,36.1,23,41.6,18.1
