C-5A,TF39-GE-1A,Cruise (2.48 EPR),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,120,120,125.8,126.1,117.9,117.9,132.5,132.7
250,118.4,118.4,124.1,124.4,115.7,115.7,130.2,130.4
315,116.7,116.6,122.4,122.6,113.4,113.3,127.8,128.1
400,115,114.4,120.5,120.5,111.1,110.5,125.4,125.4
500,113.1,111.9,118.5,118,108.7,107.4,122.8,122.3
630,111.3,109.5,116.4,115.2,106.2,104.4,120.1,118.9
800,109.3,107,114.1,112.3,103.6,101.3,117.2,115.4
1000,107.2,104.5,111.6,109.2,101,98.2,114.1,111.6
1250,105.1,101.9,109,105.8,98.2,95,110.8,107.7
1600,102.8,99.5,106.4,102.9,95.3,92.1,107.6,104.1
2000,100.3,97.1,103.6,100.1,92.2,89,104.3,100.7
2500,97.6,94.7,100.6,97.3,88.9,86,100.7,97.3
3150,94.7,92.3,97.4,94.4,85.4,83,96.9,93.9
4000,91.4,89.9,93.1,90.8,81.5,80,92.1,89.8
5000,87.8,87.1,88.4,86.7,77.3,76.6,87,85.3
6300,83.6,83.9,83.3,82.3,72.5,72.8,81.4,80.5
8000,78.9,80,77.7,77.3,67.2,68.4,75.4,75
10000,73.4,75.3,71.5,71.5,61.1,63,68.7,68.7
12500,67.2,68.9,65.3,64.9,54.3,56,61.9,61.5
16000,60.3,61.1,58.1,56.6,46.9,47.6,54.1,52.6
20000,53.7,51.8,50.6,46.1,39.6,37.7,46,41.5
25000,48.2,41.5,44.2,30.4,33.5,26.9,39.1,25.2
