C-5A,TF39-GE-1A,Intermediate (3.38),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,123.4,123.4,129.6,129.3,124.4,124.4,141.2,141
250,121.8,121.8,127.9,127.7,122.1,122.1,138.9,138.7
315,120.1,120,126.2,125.7,119.8,119.8,136.6,136.1
400,118.3,118.1,124.4,123.4,117.5,117.2,134.2,133.2
500,116.5,115.6,122.5,120.9,115,114.1,131.8,130.2
630,114.5,112.9,120.5,118.2,112.5,110.9,129.2,126.9
800,112.5,110.1,118.4,115.4,109.8,107.4,126.4,123.4
1000,110.3,107.4,116,112.5,107,104.1,123.4,120
1250,108,104.9,113.4,109.7,104.1,101.1,120.2,116.6
1600,105.5,102.5,110.7,107,101,98.1,116.9,113.2
2000,102.8,100,107.7,104.1,97.7,94.9,113.3,109.7
2500,99.8,97.4,104.5,101.1,94.1,91.7,109.5,106.1
3150,96.5,94.7,101,98,90.2,88.4,105.4,102.5
4000,92.6,91.8,96.3,94.2,85.8,85,99.9,97.8
5000,88.3,88.7,91.2,90,80.8,81.2,93.9,92.7
6300,83.2,85.1,85.5,85.4,75.1,77,87.4,87.3
8000,77.4,80.5,79.2,80.1,68.7,71.8,80.2,81.1
10000,70.8,74.8,72.2,73.7,61.5,65.5,72.3,73.9
12500,64.1,66.5,65.2,65.8,54.2,56.7,64.8,65.4
16000,58.6,56.6,58.8,56,48.1,46.2,57.8,54.9
20000,54.4,46.3,54,43.2,43.4,35.3,52.4,41.6
25000,50.8,38.9,48.8,27.4,39.1,27.3,46.6,25.2
