C-5A,TF39-GE-1A,Intermediate military power (4.00 EPR),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,126.1,126.1,132.5,133,123.7,123.7,137.5,138
250,124.4,124.4,130.7,131.3,121.4,121.4,135.1,135.6
315,122.7,122.6,128.9,129.1,119.1,119,132.6,132.8
400,120.9,120.9,126.9,127.3,116.7,116.7,130.1,130.4
500,119,118.5,125,124.7,114.2,113.6,127.5,127.3
630,117,115.8,122.9,122,111.6,110.4,124.9,124
800,114.9,113,120.7,119.1,108.9,107,122.1,120.5
1000,112.7,110.2,118.3,116,106.1,103.6,119.1,116.8
1250,110.4,107.4,115.8,112.8,103.2,100.2,116,113
1600,107.9,104.9,113.1,110,100.1,97.1,112.7,109.6
2000,105.2,102.4,110.1,107.1,96.8,94,109.1,106.1
2500,102.3,99.8,106.9,104.2,93.3,90.8,105.3,102.5
3150,99.1,97.2,103.6,101.2,89.4,87.6,101.4,98.9
4000,95.5,94.6,99.3,97.4,85.2,84.4,96.8,94.9
5000,91.5,91.7,94.6,93.4,80.6,80.9,91.9,90.6
6300,87,88.3,89.5,89.1,75.6,76.9,86.5,86
8000,82.1,84.1,83.9,84.1,70.1,72,80.6,80.8
10000,76.9,78.9,77.7,78.3,64.3,66.2,74.1,74.7
12500,71.7,71.8,71.8,71.2,58.5,58.6,67.6,67
16000,66.9,63.8,67.4,62.7,53.1,50,62.6,57.9
20000,62.5,55.6,62.7,51.8,48.1,41.2,57.3,46.4
25000,58.4,48.2,57.4,42.4,43.4,33.2,51.5,36.4
