C-9A,JT9D-9A,Intermediate (1.70 EPR),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,112,112,117.1,117.1,108.3,108.3,123.5,123.6
250,110.3,110.3,115.4,115.4,106,106,121.2,121.3
315,108.7,107.8,113.6,112.9,103.8,102.9,118.9,118.1
400,107,105.4,111.8,109.9,101.5,99.9,116.4,114.6
500,105.2,102.9,109.9,107.4,99.1,96.8,113.9,111.4
630,103.3,100.3,107.8,104.6,96.6,93.6,111.3,108.1
800,101.4,97.8,105.7,102.1,94.1,90.5,108.5,105
1000,99.4,95.1,103.3,99.2,91.5,87.2,105.6,101.4
1250,97.4,92.4,100.8,96.1,88.9,83.9,102.4,97.7
1600,95.2,90,98.1,93,86.1,80.9,99.1,94.1
2000,93,87.5,95.1,89.8,83.3,77.8,95.5,90.2
2500,90.7,85.1,92,86.3,80.4,74.8,91.9,86.2
3150,88.4,82.7,89.5,82.9,77.5,71.8,88.7,82.2
4000,86,80.4,86.6,79.8,74.5,68.9,85.3,78.5
5000,83.5,77.8,83.6,76.5,71.4,65.7,81.8,74.6
6300,80.8,75.1,80.5,72.8,68.1,62.4,78.1,70.4
8000,78,72.1,77.2,68.8,64.7,58.8,74.3,65.9
10000,75,68.6,73.8,65,61.1,54.7,70.3,61.5
12500,71.9,64.3,70.3,60.6,57.4,49.8,66.1,56.5
16000,68.5,59.4,66.4,55.4,53.4,44.3,61.7,50.7
20000,64.8,54.2,62.4,48.9,49.1,38.5,57.1,43.6
25000,60.9,48.8,57.9,42.1,44.6,32.5,52,36.2
