CH-46E,T58-GE-16,Cruise (79% Q-BPA),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,94.4,94.4,98.9,98.9,94.5,94.5,107.6,107.6
250,93,93,97.4,97.4,92.4,92.4,105.5,105.5
315,91.5,88.6,95.8,94.2,90.4,87.4,103.4,101.7
400,90.1,84.3,94.3,90.7,88.3,82.6,101.3,97.7
500,88.6,81.6,92.7,88.1,86.2,79.3,99.1,94.5
630,87.1,79,91.1,85.4,84.2,76,96.8,91.2
800,85.6,76.5,89.4,82.6,82,73,94.6,87.7
1000,84.1,74.3,87.7,79.9,79.9,70.1,92.2,84.4
1250,82.5,72.1,85.9,77.3,77.8,67.4,89.9,81.2
1600,80.9,70,84.1,74.4,75.6,64.7,87.5,77.8
2000,79.3,68.1,82.3,71.8,73.3,62.1,85.1,74.6
2500,77.6,66.1,80.4,68.9,71,59.6,82.5,71.1
3150,75.8,64.2,78.3,66,68.7,57.1,79.9,67.5
4000,74,62.4,76,63.4,66.3,54.6,77.1,64.6
5000,72.1,60.3,73.6,60.8,63.8,52,74.3,61.5
6300,70.1,58.3,71.1,58,61.2,49.3,71.4,58.3
8000,68,56.1,68.4,55.2,58.4,46.5,68.3,55.1
10000,65.7,53.7,65.6,52,55.6,43.5,65.1,51.5
12500,63.3,50.6,62.8,48,52.6,39.9,61.7,46.8
16000,60.7,47.3,59.8,42.9,49.4,36,58.1,41.2
20000,57.9,43.9,56.4,37.7,45.9,32,54.1,35.3
25000,54.8,40.6,52.8,29.3,42.3,28,49.9,26.3
