CH-53E,T64-GE-416A,Maximum power (90.1% Q-BPA),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,104.9,104.9,108.9,109.1,104.2,104.2,116.8,117
250,103.4,103.4,107.4,107.6,102.2,102.2,114.7,114.9
315,102,99.5,105.9,103.6,100.1,97.6,112.6,110.3
400,100.5,96,104.3,100.9,98,93.5,110.5,107
500,99,93.5,102.8,98.4,95.9,90.4,108.3,103.9
630,97.4,91.1,101.1,95.9,93.7,87.4,106,100.8
800,95.8,88.9,99.5,93.3,91.5,84.6,103.8,97.6
1000,94.2,86.7,97.7,90.6,89.3,81.8,101.4,94.4
1250,92.6,84.7,95.9,88.1,87.1,79.2,99,91.2
1600,90.8,82.7,94.1,85.8,84.7,76.6,96.6,88.3
2000,89.1,80.8,92.1,83.4,82.4,74.1,94,85.4
2500,87.2,78.9,90.1,81.1,79.9,71.6,91.4,82.4
3150,85.2,77,88,78.8,77.4,69.1,88.7,79.5
4000,83.2,75.1,85.6,76.2,74.7,66.6,85.8,76.3
5000,81,73,83.1,73.3,72,63.9,82.7,72.9
6300,78.7,70.7,80.5,70.6,69.1,61,79.5,69.6
8000,76.3,68.2,77.7,67.8,66,57.9,76.2,66.3
10000,73.7,65.3,74.6,64.7,62.8,54.4,72.6,62.6
12500,70.9,61.6,71.6,61,59.4,50.1,68.9,58.3
16000,67.9,57.6,68.2,56.6,55.8,45.5,64.9,53.3
20000,64.6,53.4,64.5,51.4,51.9,40.7,60.6,47.5
25000,61,49.2,60.2,45.3,47.7,35.9,55.8,40.9
